method,fold,size,query_source,gallery_source,protocol,scope,checkpoint_fingerprint,config_fingerprint,descriptor_fingerprint,query_id,articleType,ndcg_at_5,precision_any_at_5,precision_strict_at_5,tie_rate_at_5,ndcg_at_10,precision_any_at_10,precision_strict_at_10,tie_rate_at_10,ndcg_at_20,precision_any_at_20,precision_strict_at_20,tie_rate_at_20,recall_at_10,hit_rate_at_10,precision_at_10
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24603,Kurtas,0.50000000,1.00000000,0.00000000,0.00000000,0.50000000,1.00000000,0.00000000,0.00000000,0.50000000,1.00000000,0.00000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24611,Tshirts,0.50000000,1.00000000,0.00000000,0.00000000,0.50000000,1.00000000,0.00000000,0.00000000,0.48328125,0.95000000,0.00000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24612,Tshirts,0.75437015,1.00000000,0.40000000,0.00000000,0.66506882,1.00000000,0.20000000,0.00000000,0.66112705,1.00000000,0.25000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24613,Kurtas,0.50000000,1.00000000,0.00000000,0.00000000,0.46818961,0.90000000,0.00000000,0.00000000,0.49684570,0.95000000,0.05000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24614,Shorts,0.59654593,0.80000000,0.20000000,0.00000000,0.52952459,0.80000000,0.10000000,0.00000000,0.53994795,0.80000000,0.20000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24617,Wallets,0.67259567,1.00000000,0.40000000,0.00000000,0.64512989,1.00000000,0.30000000,0.00000000,0.63103256,1.00000000,0.25000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24620,Wallets,0.73518264,1.00000000,0.40000000,0.00000000,0.75582541,1.00000000,0.50000000,0.00000000,0.77333331,1.00000000,0.55000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24621,Belts,0.86136329,1.00000000,0.60000000,0.00000000,0.76631044,1.00000000,0.40000000,0.00000000,0.72553413,1.00000000,0.35000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24624,Handbags,0.50000000,1.00000000,0.00000000,0.00000000,0.50000000,1.00000000,0.00000000,0.00000000,0.51919232,1.00000000,0.05000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24641,Cufflinks,1.00000000,1.00000000,0.00000000,0.00000000,0.93637921,0.90000000,0.00000000,0.00000000,0.85354437,0.80000000,0.00000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24649,Casual Shoes,0.66958010,1.00000000,0.20000000,0.00000000,0.64672784,1.00000000,0.20000000,0.00000000,0.63211591,0.95000000,0.25000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24652,Handbags,0.50000000,1.00000000,0.00000000,0.00000000,0.57892822,1.00000000,0.00000000,0.00000000,0.68055223,1.00000000,0.00000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24656,Socks,0.33916021,0.20000000,0.20000000,0.00000000,0.22009177,0.10000000,0.10000000,0.00000000,0.14204004,0.05000000,0.05000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24657,Socks,0.58479005,1.00000000,0.20000000,0.00000000,0.55502294,1.00000000,0.10000000,0.00000000,0.56811164,1.00000000,0.15000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24658,Socks,0.34217577,0.60000000,0.00000000,0.00000000,0.27289703,0.40000000,0.00000000,0.00000000,0.25422132,0.30000000,0.00000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24660,Socks,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24662,Casual Shoes,0.27657324,0.40000000,0.00000000,0.00000000,0.29455734,0.40000000,0.10000000,0.00000000,0.31133089,0.50000000,0.10000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24665,Casual Shoes,0.50000000,1.00000000,0.00000000,0.00000000,0.49803365,0.90000000,0.10000000,0.00000000,0.48097598,0.90000000,0.05000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24676,Handbags,0.49256836,0.80000000,0.20000000,0.00000000,0.42481748,0.60000000,0.20000000,0.00000000,0.43251871,0.70000000,0.15000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24680,Belts,0.50000000,1.00000000,0.00000000,0.00000000,0.50000000,1.00000000,0.00000000,0.00000000,0.53315123,1.00000000,0.10000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,24684,Shirts,0.50000000,1.00000000,0.00000000,0.00000000,0.50000000,1.00000000,0.00000000,0.00000000,0.51671875,1.00000000,0.05000000,0.00000000,,,
