method,fold,size,query_source,gallery_source,protocol,scope,checkpoint_fingerprint,config_fingerprint,descriptor_fingerprint,width,height,query_transform_seconds,gallery_transform_seconds,query_source_bytes,gallery_source_bytes,feature_bytes_per_image,uint8_tensor_bytes_per_image,float32_tensor_bytes_per_image,metric,k,aggregation,value,query_count,class_count,passed
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,tie_rate,5,query_mean,0.03752288,6556,108,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,tie_rate,5,article_type_macro,0.02850445,6556,108,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,ndcg,10,query_mean,0.46703987,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,ndcg,10,article_type_macro,0.39546053,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_any,10,query_mean,0.74047619,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_any,10,article_type_macro,0.47213759,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_strict,10,query_mean,0.14552808,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_strict,10,article_type_macro,0.08928431,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,tie_rate,10,query_mean,0.04148871,6556,108,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,tie_rate,10,article_type_macro,0.02967434,6556,108,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,ndcg,20,query_mean,0.45602082,6552,104,
