target,class,articleType,rows,families
gender,Men,Sandals,602,377
gender,Men,Scarves,37,28
gender,Men,Shirts,2320,1301
gender,Men,Shoe Accessories,2,2
gender,Men,Shorts,316,253
gender,Men,Socks,395,196
gender,Men,Sports Sandals,24,23
gender,Men,Sports Shoes,1317,1188
gender,Men,Stoles,1,1
gender,Men,Sunglasses,503,209
gender,Men,Suspenders,34,19
gender,Men,Sweaters,162,135
gender,Men,Sweatshirts,182,151
gender,Men,Ties,179,85
gender,Men,Tights,1,1
gender,Men,Tops,1,1
gender,Men,Track Pants,178,135
gender,Men,Tracksuits,24,20
gender,Men,Trousers,354,216
gender,Men,Trunk,119,86
gender,Men,Tshirts,4317,3484
gender,Men,Tunics,1,1
gender,Men,Waist Pouch,1,1
gender,Men,Waistcoat,6,5
gender,Men,Wallets,344,156
gender,Men,Watches,1105,701
gender,Men,Water Bottle,3,3
gender,Unisex,Backpacks,526,373
gender,Unisex,Basketballs,12,12
gender,Unisex,Belts,8,8
gender,Unisex,Caps,117,104
gender,Unisex,Casual Shoes,186,173
gender,Unisex,Cushion Covers,1,1
gender,Unisex,Deodorant,3,3
gender,Unisex,Duffel Bag,64,49
gender,Unisex,Flip Flops,125,114
gender,Unisex,Footballs,7,7
gender,Unisex,Fragrance Gift Set,1,1
gender,Unisex,Free Gifts,1,1
gender,Unisex,Handbags,50,46
gender,Unisex,Hat,2,2
gender,Unisex,Headband,6,6
gender,Unisex,Jackets,1,1
gender,Unisex,Jeans,3,1
gender,Unisex,Key chain,1,1
gender,Unisex,Laptop Bag,45,31
gender,Unisex,Messenger Bag,27,26
gender,Unisex,Mobile Pouch,6,5
gender,Unisex,Mufflers,1,1
gender,Unisex,Perfume and Body Mist,7,5
gender,Unisex,Rain Jacket,1,1
gender,Unisex,Rucksacks,10,10
gender,Unisex,Sandals,80,73
gender,Unisex,Scarves,5,5
gender,Unisex,Shoe Accessories,18,15
gender,Unisex,Shoe Laces,1,1
gender,Unisex,Socks,58,42
gender,Unisex,Sports Sandals,3,3
gender,Unisex,Sports Shoes,38,38
gender,Unisex,Sunglasses,119,71
gender,Unisex,Sweatshirts,1,1
gender,Unisex,Swimwear,4,4
gender,Unisex,Tablet Sleeve,1,1
gender,Unisex,Track Pants,1,1
gender,Unisex,Travel Accessory,9,8
gender,Unisex,Trolley Bag,3,2
gender,Unisex,Tshirts,60,48
gender,Unisex,Waist Pouch,14,13
gender,Unisex,Wallets,18,14
gender,Unisex,Watches,110,95
gender,Unisex,Water Bottle,7,7
gender,Unisex,Wristbands,5,5
gender,Women,Baby Dolls,2,2
gender,Women,Backpacks,30,26
gender,Women,Bangle,36,16
gender,Women,Belts,225,162
gender,Women,Blazers,1,1
gender,Women,Bra,251,196
gender,Women,Bracelet,28,15
gender,Women,Briefs,131,95
gender,Women,Camisoles,13,13
gender,Women,Capris,96,82
gender,Women,Caps,19,18
gender,Women,Casual Shoes,266,235
gender,Women,Churidar,19,18
gender,Women,Clutches,189,154
gender,Women,Compact,4,1
gender,Women,Concealer,2,1
gender,Women,Deodorant,88,81
gender,Women,Dresses,235,191
gender,Women,Duffel Bag,6,6
gender,Women,Dupatta,99,73
gender,Women,Earrings,205,32
gender,Women,Eyeshadow,4,3
gender,Women,Flats,356,234
gender,Women,Flip Flops,188,128
gender,Women,Foundation and Primer,11,5
gender,Women,Fragrance Gift Set,19,19
gender,Women,Free Gifts,26,20
gender,Women,Handbags,1168,744
gender,Women,Heels,889,471
