target,class,fold,feature,train_n,val_n,train_mean,val_mean,standardized_mean_difference,wasserstein_distance
gender,Men,1,near_white_fraction,14202,3551,0.6250158236346369,0.62377757439219,-0.007433081512290459,0.002373402010926615
gender,Men,1,foreground_center_x,14202,3551,0.4979459886507259,0.49835022998216466,0.02071558494883996,0.0005766408727658845
gender,Men,1,foreground_center_y,14202,3551,0.508398905083791,0.5077706983948184,-0.020126747635123076,0.0006996801559872499
gender,Unisex,1,brightness,1414,352,0.8264617241044362,0.8240194340998476,-0.02425347058164169,0.004234174802713506
gender,Unisex,1,foreground_fraction,1414,352,0.3192432323589502,0.3148354640151515,-0.024098187704041985,0.009710246694312297
gender,Unisex,1,near_white_fraction,1414,352,0.6855993635077794,0.6901236979166666,0.024820488732551733,0.00951102560032789
gender,Unisex,1,foreground_center_x,1414,352,0.4997996228194248,0.4992424242424242,-0.04118020941627821,0.0009111402211649749
gender,Unisex,1,foreground_center_y,1414,352,0.5089035242809996,0.5104225852272727,0.030909263850823557,0.0032827585213878532
gender,Women,1,brightness,9622,2405,0.8562596297962852,0.8559066423259505,-0.004560462096905531,0.0017161504043218102
gender,Women,1,foreground_fraction,9622,2405,0.3281546991476991,0.32973441892545663,0.010508949649074896,0.002559125940651369
gender,Women,1,near_white_fraction,9622,2405,0.6828750587185115,0.6811587118686174,-0.01146683579368126,0.002538157496183626
gender,Women,1,foreground_center_x,9622,2405,0.497396591145292,0.4962238653748088,-0.04899746258992596,0.0013166058800669759
gender,Women,1,foreground_center_y,9622,2405,0.5142658317744059,0.5117385654885656,-0.05403639911375624,0.0030175237634705553
usage,Casual,1,brightness,20120,5031,0.838683470027525,0.8374794248178308,-0.013941102813411243,0.0026186028605690633
usage,Casual,1,foreground_fraction,20120,5031,0.3497426047097915,0.3497658323426204,0.00013786409116954093,0.002026500867382834
usage,Casual,1,near_white_fraction,20120,5031,0.6595519607460061,0.6596507143133953,0.000593931706616596,0.002115930589566713
usage,Casual,1,foreground_center_x,20120,5031,0.4980415306900733,0.4977493002503972,-0.01486936677002164,0.000350548267595131
usage,Casual,1,foreground_center_y,20120,5031,0.5129745071239231,0.5119235738421786,-0.025243383916958188,0.001451733583294511
usage,Ethnic,1,brightness,1747,436,0.8393701487223489,0.83836742784452,-0.015153776397721131,0.007206477826709364
usage,Ethnic,1,foreground_fraction,1747,436,0.37577493807893486,0.38417909021406726,0.09434951679540447,0.009386174177287598
usage,Ethnic,1,near_white_fraction,1747,436,0.6289943879534728,0.6204596712538225,-0.09600899736751424,0.009585458556813784
usage,Ethnic,1,foreground_center_x,1747,436,0.4945430261400496,0.4926987767584098,-0.054925052671041946,0.0027201502269508784
usage,Ethnic,1,foreground_center_y,1747,436,0.5024076989124213,0.5019495412844037,-0.02780506473575338,0.0014027323380053898
usage,Formal,1,brightness,1562,387,0.826378736468497,0.8350555607206753,0.11990300325195193,0.009741708761459801
usage,Formal,1,foreground_fraction,1562,387,0.3626430899446264,0.35807601205857015,-0.028364062947477897,0.00646308305732347
usage,Formal,1,near_white_fraction,1562,387,0.6461379866665558,0.6498638027562447,0.0237059395797272,0.00662800990798973
usage,Formal,1,foreground_center_x,1562,387,0.4982287665386257,0.4994616709732988,0.04616063262975275,0.002369943567126663
usage,Formal,1,foreground_center_y,1562,387,0.5088868437900128,0.5069928940568476,-0.07163599802037668,0.002430245378779606
usage,NA,1,brightness,47,14,0.8625690431353894,0.8596038094588688,-0.021415209269521056,0.0353834740704316
usage,NA,1,foreground_fraction,47,14,0.2631117021276595,0.2562648809523809,-0.040019006092196996,0.06199183130699089
usage,NA,1,near_white_fraction,47,14,0.740558510638298,0.7440625000000001,0.02049747108867525,0.06314747973657549
usage,NA,1,foreground_center_x,47,14,0.49769503546099286,0.49761904761904757,-0.005807505062644487,0.004533941236068903
usage,NA,1,foreground_center_y,47,14,0.5011968085106383,0.5196428571428572,0.43481891377636606,0.019604863221884497
usage,Party,1,brightness,10,2,0.8089341580867767,0.8501253724098206,0.4697531384229998,0.04289074540138243
usage,Party,1,foreground_fraction,10,2,0.3280208333333333,0.36791666666666667,0.4606346788655146,0.044479166666666695
usage,Party,1,near_white_fraction,10,2,0.6771666666666667,0.6414583333333332,-0.4080319666905449,0.046499999999999986
usage,Party,1,foreground_center_x,10,2,0.4883333333333333,0.47916666666666663,-0.39901193756050574,0.0125
usage,Party,1,foreground_center_y,10,2,0.515,0.553125,0.5098304044400686,0.060624999999999984
usage,Smart Casual,1,brightness,37,10,0.8128935565819612,0.8556772232055664,0.5231472529979737,0.04350738944234077
usage,Smart Casual,1,foreground_fraction,37,10,0.3661599099099098,0.36616666666666664,5.021879922075817e-05,0.03118693693693694
usage,Smart Casual,1,near_white_fraction,37,10,0.6361655405405404,0.6358333333333334,-0.002485756659801428,0.03288963963963964
usage,Smart Casual,1,foreground_center_x,37,10,0.49729729729729727,0.5116666666666667,0.7103813806161549,0.014369369369369379
usage,Smart Casual,1,foreground_center_y,37,10,0.5150337837837837,0.52625,0.3257044061400056,0.01875000000000001
usage,Sports,1,brightness,2675,671,0.8363623387234234,0.8366381531323122,0.003010523946871804,0.0027239007386267696
usage,Sports,1,foreground_fraction,2675,671,0.3632776998961578,0.3682088301043219,0.027707257459302807,0.005384608378870669
usage,Sports,1,near_white_fraction,2675,671,0.6433898234683282,0.638191132637854,-0.029359844598439436,0.006017059750252644
usage,Sports,1,foreground_center_x,2675,671,0.4974361370716511,0.497528564331843,0.006609528983320921,0.0006059306099140628
usage,Sports,1,foreground_center_y,2675,671,0.49804283489096574,0.49603204172876303,-0.06998519924299126,0.0021196208290968515
usage,Travel,1,brightness,17,5,0.7364741037873661,0.7894483804702759,0.4664597058257364,0.05451447052114149
usage,Travel,1,foreground_fraction,17,5,0.596985294117647,0.35841666666666666,-0.7161731538750522,0.257235294117647
usage,Travel,1,near_white_fraction,17,5,0.4056495098039216,0.64225,0.7041068473030878,0.2563848039215687
usage,Travel,1,foreground_center_x,17,5,0.5044117647058824,0.5066666666666666,0.19683929587378063,0.009117647058823543
usage,Travel,1,foreground_center_y,17,5,0.5198529411764706,0.5,-0.29877833636821705,0.03602941176470589
gender,Boys,2,brightness,548,136,0.9038603325394818,0.8950817576226067,-0.16379987364156737,0.011429308744498507
gender,Boys,2,foreground_fraction,548,136,0.2254581052311435,0.23565410539215684,0.11459902695555078,0.013138831490625408
gender,Boys,2,near_white_fraction,548,136,0.7762366940389294,0.7651547181372549,-0.12465553201301442,0.013934281970087298
gender,Boys,2,foreground_center_x,548,136,0.49624391727493916,0.49264705882352944,-0.22803778644163902,0.004511950765707747
gender,Boys,2,foreground_center_y,548,136,0.5050524635036496,0.5035845588235295,-0.045338277925255924,0.002333351223701163
gender,Girls,2,brightness,434,109,0.9207478485623812,0.9140371127959785,-0.1309646587613673,0.01020043386428425
gender,Girls,2,foreground_fraction,434,109,0.22704877112135172,0.23404434250764528,0.07855892754971576,0.015343420144026822
gender,Girls,2,near_white_fraction,434,109,0.7754185867895544,0.7686754587155965,-0.07627624401472965,0.016385086810693488
gender,Girls,2,foreground_center_x,434,109,0.4956413210445468,0.49587155963302737,0.014380642528654496,0.001150840626277145
gender,Girls,2,foreground_center_y,434,109,0.5082085253456221,0.5100344036697247,0.05346220564335259,0.0036768591721980342
gender,Men,2,brightness,14203,3550,0.8208525092461987,0.8226829882406853,0.021462514343955776,0.0022488119082113445
gender,Men,2,foreground_fraction,14203,3550,0.3834769396051949,0.381893779342723,-0.009287402957914328,0.0035580120078512883
gender,Men,2,near_white_fraction,14203,3550,0.6245605636550341,0.6255986502347418,0.006206223965364861,0.0035693117419566063
gender,Men,2,foreground_center_x,14203,3550,0.4980658262914602,0.4978708920187793,-0.009897662731441,0.00029231038081650577
gender,Men,2,foreground_center_y,14203,3550,0.5081246039569105,0.5088679577464789,0.024138569884446803,0.0010430008587751277
gender,Unisex,2,brightness,1414,352,0.8263205709054413,0.8245864529162645,-0.017196301056385283,0.004704087570029892
gender,Unisex,2,foreground_fraction,1414,352,0.3185420104510451,0.3176523042929293,-0.004867834616295201,0.008290776622305082
gender,Unisex,2,near_white_fraction,1414,352,0.6863963048090523,0.6869223484848485,0.002887709441531405,0.00872424296001029
gender,Unisex,2,foreground_center_x,1414,352,0.4998408769448373,0.4990767045454545,-0.05958669112435429,0.0015120373644507284
gender,Unisex,2,foreground_center_y,1414,352,0.5094413012729845,0.5082623106060606,-0.023831584024169537,0.0024108884102696003
gender,Women,2,brightness,9621,2406,0.8568524770758502,0.8535361391300968,-0.04247156457092388,0.003607047819020156
gender,Women,2,foreground_fraction,9621,2406,0.3273579601106245,0.3329197250584231,0.03694229986350029,0.005792365101568888
gender,Women,2,near_white_fraction,9621,2406,0.6835822046277175,0.6783317233209778,-0.03502802400565427,0.005383156733683609
gender,Women,2,foreground_center_x,9621,2406,0.49700586178426515,0.497786783042394,0.03236464042461688,0.0009968804247585841
