method,fold,size,query_source,gallery_source,protocol,scope,checkpoint_fingerprint,config_fingerprint,descriptor_fingerprint,query_id,articleType,ndcg_at_5,precision_any_at_5,precision_strict_at_5,tie_rate_at_5,ndcg_at_10,precision_any_at_10,precision_strict_at_10,tie_rate_at_10,ndcg_at_20,precision_any_at_20,precision_strict_at_20,tie_rate_at_20,recall_at_10,hit_rate_at_10,precision_at_10
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44421,Casual Shoes,0.00000000,0.00000000,0.00000000,0.00000000,0.03668196,0.10000000,0.00000000,0.00000000,0.05653831,0.10000000,0.05000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44422,Casual Shoes,0.26481736,0.60000000,0.00000000,0.00000000,0.26991296,0.50000000,0.10000000,0.00000000,0.22466199,0.35000000,0.10000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44428,Formal Shoes,0.79576075,0.80000000,0.60000000,0.00000000,0.61921420,0.60000000,0.40000000,0.00000000,0.58988707,0.65000000,0.40000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44429,Formal Shoes,0.55515533,0.60000000,0.40000000,0.00000000,0.49013284,0.50000000,0.40000000,0.00000000,0.52484500,0.60000000,0.45000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44433,Casual Shoes,0.30821682,0.60000000,0.20000000,0.00000000,0.37965151,0.60000000,0.30000000,0.00000000,0.45837787,0.70000000,0.35000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44435,Casual Shoes,0.68876762,0.80000000,0.40000000,0.00000000,0.70128358,0.80000000,0.50000000,0.00000000,0.63079567,0.80000000,0.35000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44436,Casual Shoes,0.39300687,0.80000000,0.00000000,0.00000000,0.36272606,0.70000000,0.00000000,0.00000000,0.35670046,0.70000000,0.00000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44442,Sandals,0.65782423,0.80000000,0.40000000,0.00000000,0.52718566,0.60000000,0.30000000,0.00000000,0.48245888,0.70000000,0.15000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44448,Sandals,0.81997269,1.00000000,0.60000000,0.00000000,0.64111438,0.80000000,0.30000000,0.00000000,0.62740482,0.85000000,0.30000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44465,Heels,0.24261428,0.40000000,0.00000000,0.00000000,0.30116388,0.60000000,0.00000000,0.00000000,0.26661360,0.50000000,0.00000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44492,Casual Shoes,0.78601374,0.80000000,0.80000000,0.00000000,0.74605733,0.80000000,0.70000000,0.00000000,0.67324294,0.80000000,0.50000000,0.00000000,,,
