candidate,variant,experiment_id,run_id,fold,seed,epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f1-s2753-dc728952f19f,1,2753,23,0.4720989006929257,0.6822009203070413,0.7421767669058159,0.7257729930188516
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f1-s2753-dc728952f19f,1,2753,24,0.45463480488797764,0.6775102917428527,0.7458403297206533,0.7301639034276558
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f1-s2753-dc728952f19f,1,2753,25,0.44363287325788386,0.6907654196738178,0.7441611967638528,0.7271311997123909
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f1-s2753-dc728952f19f,1,2753,26,0.43319052220318993,0.6841484073863978,0.7449244390169439,0.7266115781826992
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f1-s2753-dc728952f19f,1,2753,27,0.4260272725685236,0.7013916408282311,0.7440085483132346,0.7262458542621272
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f1-s2753-dc728952f19f,1,2753,28,0.420160083927805,0.6935699395579503,0.7420241184551977,0.7245599021221079
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f1-s2753-dc728952f19f,1,2753,29,0.4153602454768966,0.7017615279101758,0.7447717905663257,0.72665822136321
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,1,1.0546501551844376,0.9425162558883201,0.5893129770992367,0.4181355901873938
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,2,0.8478766965128168,0.8187428388522782,0.643206106870229,0.6024244681752
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,3,0.7874418401569827,0.7647391154747882,0.6745038167938932,0.6614045232485681
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,4,0.7628635491700826,0.7697261256116037,0.6845801526717558,0.6596006429553287
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,5,0.7348225395520152,0.719891457102681,0.7109923664122137,0.6926630273993175
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,6,0.716931163525393,0.7316175814075324,0.7006106870229007,0.6856923537538897
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,7,0.6996972735399545,0.6986012413847538,0.7198473282442748,0.7030097861775821
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,8,0.6906362344999102,0.8912169495429701,0.6395419847328244,0.5908876084021252
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f2-s2753-80377ad03917,2,2753,9,0.6745718005017161,0.7343216612593818,0.7077862595419847,0.6797598077099472
