nohup: ignoring input
=== 2026-09-01T03:46:46+00:00 starting task9-stability-r5-f02-retry1
task4-progress stage=candidate-data run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=42/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=43/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=43/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=44/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=44/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=45/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=45/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=46/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=46/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=47/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=47/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=48/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=48/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=49/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=49/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=50/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=50/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=51/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=51/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=52/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=52/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=53/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=53/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=54/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=54/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=55/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=55/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=56/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=56/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=57/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=57/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=58/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=58/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=59/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=59/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=60/100 event=start
task4-progress stage=checkpoint run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=60 event=score
task4-progress stage=checkpoint run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=60 event=saved checkpoint_sha256=d4aaaab3b7dc72aa80da557970b1e2c94bd385ea6acd9efc22d47ef65280e187
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=60/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=61/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=61/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=62/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=62/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=63/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=63/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=64/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=64/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=65/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=65/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=66/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=66/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=67/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=67/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=68/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=68/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=69/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=69/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=70/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=70/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=71/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=71/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=72/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=72/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=73/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=73/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=74/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=74/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=75/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=75/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=76/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=76/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=77/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=77/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=78/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=78/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=79/100 event=start
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=79/100 event=complete
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=80/100 event=start
task4-progress stage=checkpoint run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=80 event=score
task4-progress stage=checkpoint run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=80 event=saved checkpoint_sha256=0b7b90d6a39a094516d11b404881a3dbfaf327a390a3341a6295f58d08153f91
task4-progress stage=training run_id=task4-candidate-r5-task9-preexec-stability-task9-stability-r5-a2-fold-1 epoch=80/100 event=complete
