family,tuning_id,experiment_id,epoch,learning_rate_mean,learning_rate_sd,train_loss_mean,train_loss_sd,validation_loss_mean,validation_loss_sd,validation_accuracy_mean,validation_accuracy_sd,validation_macro_f1_mean,validation_macro_f1_sd
C1,T2,g2-t2-c1-smallcnn,1,0.0003,0.0,1.0700603221110583,0.014809107498914283,0.9602603612579109,0.03667192099375142,0.5730472016742104,0.01540279396287999,0.39454437702376255,0.03765692967219004
C1,T2,g2-t2-c1-smallcnn,2,0.00028528748905818404,0.0,0.8593435364480426,0.004163828409550204,0.8517113720550775,0.06835625202271853,0.6348444594823563,0.03677979233393184,0.6032553283783402,0.027227617829369298
C1,T2,g2-t2-c1-smallcnn,3,0.00024377999118157552,0.0,0.7882786779233076,0.002862000091591961,0.8274856287846661,0.04421507080924944,0.6461693992495036,0.035760468870137854,0.6398563445696931,0.02154962243039079
C1,T2,g2-t2-c1-smallcnn,4,0.00018369821591534186,0.0,0.7515245792392474,0.003529501495771476,0.764049689597166,0.021118720837827742,0.6749627003868743,0.018035583404935086,0.6670060301232646,0.01823953199631313
C1,T2,g2-t2-c1-smallcnn,5,0.00011694209570557818,0.0,0.7218841425348356,0.001772293727643138,0.7379728069630812,0.016441771891892415,0.6944101693276937,0.014917367375952579,0.6822541073216568,0.012433635203109835
C1,T2,g2-t2-c1-smallcnn,6,5.673349886991463e-05,0.0,0.6997518831687637,0.0019756872171623903,0.7210304650875525,0.02341449856059709,0.7023490493499,0.012300798678216965,0.6880785079211383,0.01553176651040566
C1,T2,g2-t2-c1-smallcnn,7,1.4997476421636368e-05,0.0,0.6808448487965316,0.0013031729586971438,0.7084800511144557,0.016804187641510544,0.7100121694416895,0.010669081565967443,0.6974547709304689,0.01006191279028879
C1,T2,g2-t2-c1-smallcnn,8,3.594653495531119e-10,0.0,0.6706449870103214,0.0030942532738534195,0.7054224297720515,0.015609482033450441,0.710744858732274,0.010266419338550124,0.6997368159695828,0.009531792611746335
C2,T0,g1-c2-resnet18,1,0.0003,0.0,1.0494935247755057,0.0064555531447053035,0.9417733992708784,0.010673306882367244,0.5818721323064102,0.02208336446003981,0.48606734031530224,0.039185069373082165
C2,T0,g1-c2-resnet18,2,0.00028528748905818404,0.0,0.8481770443091484,0.003492914729001731,0.9673124831503216,0.18130180062374868,0.599489558654045,0.06857204281558917,0.5502056168468596,0.0698041312807371
C2,T0,g1-c2-resnet18,3,0.00024377999118157552,0.0,0.7798148651951752,0.0047153012801362665,0.8733998605403743,0.09589203458803512,0.6313619821135182,0.0409457804227282,0.6217287055789658,0.05765463880332274
C2,T0,g1-c2-resnet18,4,0.00018369821591534186,0.0,0.7452102302365696,0.004768033663429374,0.7545912803796269,0.023579705978268813,0.6825646679491276,0.013598552297461193,0.65318988662964,0.02029343840362022
C2,T0,g1-c2-resnet18,5,0.00011694209570557818,0.0,0.7112627526903548,0.0028855788426894223,0.715683375012522,0.013178452573590536,0.7036300660104066,0.009387245678549008,0.6844437186832867,0.016397143036036975
C2,T0,g1-c2-resnet18,6,5.673349886991463e-05,0.0,0.6798631297919847,0.0034508590233369016,0.7015323890598393,0.012156865204058216,0.7080270778125182,0.007202224600977914,0.6931576716365924,0.009436816584599836
C2,T0,g1-c2-resnet18,7,1.4997476421636368e-05,0.0,0.6521913134800315,0.002395236445827523,0.6821292233176819,0.012722061607007056,0.7177971892700744,0.004686764397458457,0.7025584605595279,0.004234179540363294
C2,T0,g1-c2-resnet18,8,3.594653495531119e-10,0.0,0.6342713091235102,0.00356064723854492,0.6799040928851111,0.010664985857770483,0.7204838160466215,0.004700673922698151,0.7054644735746043,0.0047184638158542895
C2,T1,g2-t1-c2-resnet18,1,0.001,0.0,1.016185918347254,0.0104688322676422,1.3722807899950271,0.7036249496962858,0.4777688239713325,0.13342071445379922,0.3290599218567731,0.112762792334131
C2,T1,g2-t1-c2-resnet18,2,0.0009509582968606136,0.0,0.8677228279852205,0.005072429101595184,0.9407000384891306,0.1326858703987205,0.576862518733525,0.0874622260808507,0.5272758401222802,0.10337786553035355
