family,tuning_id,experiment_id,run_id,fold,history_sha256,epoch,learning_rate,train_loss,validation_loss,validation_accuracy,validation_macro_f1
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f4-s2753-476a7394ed3e,4,6050118657c9b4e47575738953313c3ca787436c2cdb9b08f57d3a3b9e468ce5,8,3.594653495531119e-10,0.6714319627042318,0.7194381212140177,0.7022283272283272,0.6969138738299336
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f0-s2753-b5a391a13f44,0,678d37968e38f555b65ce1c18de2c61778fbafc70cd173e5ba4957ddf4544193,1,0.001,1.0024020509679268,0.8815021449918965,0.6129770992366412,0.568902270803385
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f0-s2753-b5a391a13f44,0,678d37968e38f555b65ce1c18de2c61778fbafc70cd173e5ba4957ddf4544193,2,0.0009509582968606136,0.8451316748753452,0.9553891993296966,0.6161832061068703,0.5459228393883663
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f0-s2753-b5a391a13f44,0,678d37968e38f555b65ce1c18de2c61778fbafc70cd173e5ba4957ddf4544193,3,0.0008125999706052518,0.7809164815220547,0.9880519237773109,0.5262595419847328,0.549516327079337
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f0-s2753-b5a391a13f44,0,678d37968e38f555b65ce1c18de2c61778fbafc70cd173e5ba4957ddf4544193,4,0.0006123273863844729,0.7462757635320393,0.7536435262665494,0.6827480916030534,0.6449769245609122
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f0-s2753-b5a391a13f44,0,678d37968e38f555b65ce1c18de2c61778fbafc70cd173e5ba4957ddf4544193,5,0.0003898069856852607,0.7075680777545976,0.718349128297267,0.6938931297709924,0.6907037977507886
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f0-s2753-b5a391a13f44,0,678d37968e38f555b65ce1c18de2c61778fbafc70cd173e5ba4957ddf4544193,6,0.00018911166289971543,0.6792388997114156,0.6836601046751474,0.7106870229007634,0.711589283011932
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f0-s2753-b5a391a13f44,0,678d37968e38f555b65ce1c18de2c61778fbafc70cd173e5ba4957ddf4544193,7,4.999158807212123e-05,0.6549877259051877,0.6799755772288519,0.7155725190839695,0.7035345484867097
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f0-s2753-b5a391a13f44,0,678d37968e38f555b65ce1c18de2c61778fbafc70cd173e5ba4957ddf4544193,8,1.1982178318437065e-09,0.6360990736396541,0.6765717578116264,0.716793893129771,0.7047719062689178
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f1-s2753-224fea686af6,1,86438713cdc3ea5580b1084a3e445dc48472b3b47ca3fa8b7bfc38bb203960fc,1,0.001,1.007693801041951,1.3198148703469592,0.5058769653488017,0.33906864312340457
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f1-s2753-224fea686af6,1,86438713cdc3ea5580b1084a3e445dc48472b3b47ca3fa8b7bfc38bb203960fc,2,0.0009509582968606136,0.8333314296425995,0.8412416085198242,0.6315066402076019,0.6259765140018331
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f1-s2753-224fea686af6,1,86438713cdc3ea5580b1084a3e445dc48472b3b47ca3fa8b7bfc38bb203960fc,3,0.0008125999706052518,0.7731054869737982,0.7719251363809883,0.6763852846893604,0.6679365651951976
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f1-s2753-224fea686af6,1,86438713cdc3ea5580b1084a3e445dc48472b3b47ca3fa8b7bfc38bb203960fc,4,0.0006123273863844729,0.7419606112913361,0.7494440592530847,0.6867653793313998,0.668166836851675
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f1-s2753-224fea686af6,1,86438713cdc3ea5580b1084a3e445dc48472b3b47ca3fa8b7bfc38bb203960fc,5,0.0003898069856852607,0.7077849490611974,0.7315305873212551,0.6954663410166387,0.679517237334901
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f1-s2753-224fea686af6,1,86438713cdc3ea5580b1084a3e445dc48472b3b47ca3fa8b7bfc38bb203960fc,6,0.00018911166289971543,0.6749788538507537,0.7232093886007264,0.6979087162265303,0.6780148667775184
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f1-s2753-224fea686af6,1,86438713cdc3ea5580b1084a3e445dc48472b3b47ca3fa8b7bfc38bb203960fc,7,4.999158807212123e-05,0.6497748810938684,0.6983482141273474,0.7156159364982445,0.7005846603690098
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f1-s2753-224fea686af6,1,86438713cdc3ea5580b1084a3e445dc48472b3b47ca3fa8b7bfc38bb203960fc,8,1.1982178318437065e-09,0.6316745966484087,0.6982983039219204,0.7163791787513357,0.6989498455855894
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f2-s2753-def58df2b19c,2,6d95cd0e03579bef06bc3cb5f00e0665c5d45d7686c697a249bda24ab00c785a,1,0.001,1.0097347561336676,0.8553830585952934,0.6427480916030535,0.5519544871399568
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f2-s2753-def58df2b19c,2,6d95cd0e03579bef06bc3cb5f00e0665c5d45d7686c697a249bda24ab00c785a,2,0.0009509582968606136,0.8385286022473696,0.7900672435032502,0.6668702290076336,0.6460661010482605
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f2-s2753-def58df2b19c,2,6d95cd0e03579bef06bc3cb5f00e0665c5d45d7686c697a249bda24ab00c785a,3,0.0008125999706052518,0.7825820333642941,0.7553527593430672,0.6734351145038168,0.6706655740910978
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f2-s2753-def58df2b19c,2,6d95cd0e03579bef06bc3cb5f00e0665c5d45d7686c697a249bda24ab00c785a,4,0.0006123273863844729,0.7466557182797274,0.7127899246543419,0.7102290076335878,0.6981239988921318
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f2-s2753-def58df2b19c,2,6d95cd0e03579bef06bc3cb5f00e0665c5d45d7686c697a249bda24ab00c785a,5,0.0003898069856852607,0.7092179226628725,0.7273741376672992,0.6905343511450381,0.6646977210856122
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f2-s2753-def58df2b19c,2,6d95cd0e03579bef06bc3cb5f00e0665c5d45d7686c697a249bda24ab00c785a,6,0.00018911166289971543,0.6819671425401576,0.7498047713469003,0.6989312977099237,0.6698784806784517
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f2-s2753-def58df2b19c,2,6d95cd0e03579bef06bc3cb5f00e0665c5d45d7686c697a249bda24ab00c785a,7,4.999158807212123e-05,0.6526366192236869,0.6779990194499038,0.7270229007633587,0.708355148946689
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f2-s2753-def58df2b19c,2,6d95cd0e03579bef06bc3cb5f00e0665c5d45d7686c697a249bda24ab00c785a,8,1.1982178318437065e-09,0.6392115948832873,0.674761357835231,0.7288549618320611,0.7107252774556091
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f3-s2753-b3d10cc6ac45,3,1b1d72d9dbe3d0c0ff65f2ce38dfa236f941c63381578798de22006adb930439,1,0.001,1.006989549121952,0.8944564610037185,0.5983206106870229,0.46275687950936695
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f3-s2753-b3d10cc6ac45,3,1b1d72d9dbe3d0c0ff65f2ce38dfa236f941c63381578798de22006adb930439,2,0.0009509582968606136,0.8379575871208381,0.8422472341552035,0.6395419847328244,0.5922304802585898
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f3-s2753-b3d10cc6ac45,3,1b1d72d9dbe3d0c0ff65f2ce38dfa236f941c63381578798de22006adb930439,3,0.0008125999706052518,0.7803356129172394,0.7911352068231307,0.6409160305343512,0.6528338679009067
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f3-s2753-b3d10cc6ac45,3,1b1d72d9dbe3d0c0ff65f2ce38dfa236f941c63381578798de22006adb930439,4,0.0006123273863844729,0.7480948115015686,0.7143907363087166,0.6955725190839694,0.6853779891126575
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f3-s2753-b3d10cc6ac45,3,1b1d72d9dbe3d0c0ff65f2ce38dfa236f941c63381578798de22006adb930439,5,0.0003898069856852607,0.7164034863803622,0.6985095139132201,0.7035114503816794,0.6967526062761706
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f3-s2753-b3d10cc6ac45,3,1b1d72d9dbe3d0c0ff65f2ce38dfa236f941c63381578798de22006adb930439,6,0.00018911166289971543,0.6828999584416681,0.685607802085294,0.7094656488549619,0.6902303441386105
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f3-s2753-b3d10cc6ac45,3,1b1d72d9dbe3d0c0ff65f2ce38dfa236f941c63381578798de22006adb930439,7,4.999158807212123e-05,0.6554289956208936,0.6756868945005285,0.7169465648854961,0.6996095578250895
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f3-s2753-b3d10cc6ac45,3,1b1d72d9dbe3d0c0ff65f2ce38dfa236f941c63381578798de22006adb930439,8,1.1982178318437065e-09,0.6410664538797957,0.6562117033605357,0.7262595419847329,0.715533826355243
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f4-s2753-078e0f55f905,4,fa9dd2228057bf44a714260e3f8c3907c9d6e1e0310e9d667c20284ac89c1067,1,0.001,1.009980388617844,0.9639501043291756,0.5660866910866911,0.5431989102184526
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f4-s2753-078e0f55f905,4,fa9dd2228057bf44a714260e3f8c3907c9d6e1e0310e9d667c20284ac89c1067,2,0.0009509582968606136,0.8421278368843897,0.8361082187284044,0.6399572649572649,0.5991466484574904
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f4-s2753-078e0f55f905,4,fa9dd2228057bf44a714260e3f8c3907c9d6e1e0310e9d667c20284ac89c1067,3,0.0008125999706052518,0.7809082026436313,0.7867558285575792,0.6674297924297924,0.6655050998582677
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f4-s2753-078e0f55f905,4,fa9dd2228057bf44a714260e3f8c3907c9d6e1e0310e9d667c20284ac89c1067,4,0.0006123273863844729,0.7429762704354844,0.7726736924587152,0.6648351648351648,0.6536598613062135
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f4-s2753-078e0f55f905,4,fa9dd2228057bf44a714260e3f8c3907c9d6e1e0310e9d667c20284ac89c1067,5,0.0003898069856852607,0.7166770116563362,0.7241046758361789,0.7022283272283272,0.6883396940843008
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f4-s2753-078e0f55f905,4,fa9dd2228057bf44a714260e3f8c3907c9d6e1e0310e9d667c20284ac89c1067,6,0.00018911166289971543,0.6834700546903076,0.7186289484975393,0.7042124542124543,0.6902803222252141
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f4-s2753-078e0f55f905,4,fa9dd2228057bf44a714260e3f8c3907c9d6e1e0310e9d667c20284ac89c1067,7,4.999158807212123e-05,0.6526820165915989,0.7379357983632256,0.6959706959706959,0.6779748393407635
C1,T1,g2-t1-c1-smallcnn,g2-t1-c1-smallcnn-f4-s2753-078e0f55f905,4,fa9dd2228057bf44a714260e3f8c3907c9d6e1e0310e9d667c20284ac89c1067,8,1.1982178318437065e-09,0.6373515088345904,0.7074952038216503,0.7130647130647131,0.6988402037918148
C1,T2,g2-t2-c1-smallcnn,g2-t2-c1-smallcnn-f0-s2753-6187b7f339ae,0,d2c7286e38562d34ddd3f2e77e2fdee7dd46ffaef179764ccfabe4bc70291a18,1,0.0003,1.0961623072546867,1.0156074907943493,0.5677862595419847,0.354221478446505
C1,T2,g2-t2-c1-smallcnn,g2-t2-c1-smallcnn-f0-s2753-6187b7f339ae,0,d2c7286e38562d34ddd3f2e77e2fdee7dd46ffaef179764ccfabe4bc70291a18,2,0.00028528748905818404,0.8645984572372113,0.8222021915803429,0.64,0.6046795104364662
C1,T2,g2-t2-c1-smallcnn,g2-t2-c1-smallcnn-f0-s2753-6187b7f339ae,0,d2c7286e38562d34ddd3f2e77e2fdee7dd46ffaef179764ccfabe4bc70291a18,3,0.00024377999118157552,0.7907690613186915,0.8217129492941704,0.6497709923664122,0.6425173172634142
C1,T2,g2-t2-c1-smallcnn,g2-t2-c1-smallcnn-f0-s2753-6187b7f339ae,0,d2c7286e38562d34ddd3f2e77e2fdee7dd46ffaef179764ccfabe4bc70291a18,4,0.00018369821591534186,0.7552610265136342,0.7385581993510705,0.6883969465648855,0.6698757184159747
C1,T2,g2-t2-c1-smallcnn,g2-t2-c1-smallcnn-f0-s2753-6187b7f339ae,0,d2c7286e38562d34ddd3f2e77e2fdee7dd46ffaef179764ccfabe4bc70291a18,5,0.0001169420957055782,0.7209613865540464,0.7556003873675834,0.6807633587786259,0.68280173169231
C1,T2,g2-t2-c1-smallcnn,g2-t2-c1-smallcnn-f0-s2753-6187b7f339ae,0,d2c7286e38562d34ddd3f2e77e2fdee7dd46ffaef179764ccfabe4bc70291a18,6,5.6733498869914624e-05,0.6986537467831487,0.7016757406260221,0.7085496183206107,0.697228066046605
C1,T2,g2-t2-c1-smallcnn,g2-t2-c1-smallcnn-f0-s2753-6187b7f339ae,0,d2c7286e38562d34ddd3f2e77e2fdee7dd46ffaef179764ccfabe4bc70291a18,7,1.4997476421636368e-05,0.6795828550029237,0.7014664017062151,0.7071755725190839,0.6963884581936504
C1,T2,g2-t2-c1-smallcnn,g2-t2-c1-smallcnn-f0-s2753-6187b7f339ae,0,d2c7286e38562d34ddd3f2e77e2fdee7dd46ffaef179764ccfabe4bc70291a18,8,3.594653495531119e-10,0.6662007006225671,0.6977751304903104,0.7079389312977099,0.6975099804984245
C1,T2,g2-t2-c1-smallcnn,g2-t2-c1-smallcnn-f1-s2753-13a88ad7f93c,1,2d6fc92ae51ec66ad165a03d1121ed9efb1cb64d8baeed05abff7cebf956dbc7,1,0.0003,1.0613214108299893,0.97513728101933,0.5591512746145627,0.35439970624877026
C1,T2,g2-t2-c1-smallcnn,g2-t2-c1-smallcnn-f1-s2753-13a88ad7f93c,1,2d6fc92ae51ec66ad165a03d1121ed9efb1cb64d8baeed05abff7cebf956dbc7,2,0.00028528748905818404,0.853993330804567,0.9674926463328615,0.5731949320714395,0.5701825888057932
