scope,fold,size,width,height,query_source,gallery_source,protocol,query_transform_seconds,gallery_transform_seconds,query_source_bytes,gallery_source_bytes,feature_bytes_per_image,uint8_tensor_bytes_per_image,float32_tensor_bytes_per_image,metric,k,aggregation,value,query_count,class_count
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,precision_strict,10,query_mean,0.25630342,6552,104
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,precision_strict,10,article_type_macro,0.10904484,6552,104
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,tie_rate,10,query_mean,0.03503661,6556,108
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,tie_rate,10,article_type_macro,0.02856522,6556,108
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,ndcg,20,query_mean,0.47308291,6552,104
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,ndcg,20,article_type_macro,0.34057737,6552,104
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,precision_any,20,query_mean,0.64027015,6552,104
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,precision_any,20,article_type_macro,0.33470239,6552,104
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,precision_strict,20,query_mean,0.23330281,6552,104
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,precision_strict,20,article_type_macro,0.09313847,6552,104
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,tie_rate,20,query_mean,0.03653905,6556,108
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,tie_rate,20,article_type_macro,0.03377530,6556,108
development,1,60x80,60,80,teacher,v1,family,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,coverage,10,query_mean,0.39948139,6556,
development,1,60x80,60,80,teacher,v1,family,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,tie_rate,10,query_mean,0.03852959,6556,
development,1,60x80,60,80,teacher,v1,family,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,recall,10,query_mean,0.36336606,2619,
development,1,60x80,60,80,teacher,v1,family,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,hit_rate,10,query_mean,0.64032073,2619,
development,1,60x80,60,80,teacher,v1,family,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,precision,10,query_mean,0.15158457,2619,
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,ndcg,5,query_mean,0.50420743,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,ndcg,5,article_type_macro,0.37905676,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,precision_any,5,query_mean,0.69667277,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,precision_any,5,article_type_macro,0.46066268,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,precision_strict,5,query_mean,0.27472527,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,precision_strict,5,article_type_macro,0.12839853,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,tie_rate,5,query_mean,0.02815741,6556,108
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,tie_rate,5,article_type_macro,0.01956854,6556,108
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,ndcg,10,query_mean,0.48786228,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,ndcg,10,article_type_macro,0.35468114,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,precision_any,10,query_mean,0.66785714,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,precision_any,10,article_type_macro,0.39146569,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,precision_strict,10,query_mean,0.25558608,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,precision_strict,10,article_type_macro,0.11029885,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,tie_rate,10,query_mean,0.03065894,6556,108
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,tie_rate,10,article_type_macro,0.02605219,6556,108
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,ndcg,20,query_mean,0.47153079,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,ndcg,20,article_type_macro,0.34396903,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,precision_any,20,query_mean,0.63879731,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,precision_any,20,article_type_macro,0.33683855,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,precision_strict,20,query_mean,0.23233364,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,precision_strict,20,article_type_macro,0.09381237,6552,104
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,tie_rate,20,query_mean,0.03295455,6556,108
development,1,60x80,60,80,v1,teacher,primary,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,tie_rate,20,article_type_macro,0.02972559,6556,108
development,1,60x80,60,80,v1,teacher,family,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,coverage,10,query_mean,0.39948139,6556,
development,1,60x80,60,80,v1,teacher,family,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,tie_rate,10,query_mean,0.03521965,6556,
development,1,60x80,60,80,v1,teacher,family,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,recall,10,query_mean,0.36206551,2619,
development,1,60x80,60,80,v1,teacher,family,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,hit_rate,10,query_mean,0.64070256,2619,
development,1,60x80,60,80,v1,teacher,family,352.17207766,295.14003075,11525856401,409687427,1600,14400,57600,precision,10,query_mean,0.15162276,2619,
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,ndcg,5,query_mean,0.51083080,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,ndcg,5,article_type_macro,0.38372738,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,precision_any,5,query_mean,0.70592186,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,precision_any,5,article_type_macro,0.46593445,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,precision_strict,5,query_mean,0.27851038,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,precision_strict,5,article_type_macro,0.13174376,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,tie_rate,5,query_mean,0.02928615,6556,108
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,tie_rate,5,article_type_macro,0.02268686,6556,108
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,ndcg,10,query_mean,0.49409682,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,ndcg,10,article_type_macro,0.35810027,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,precision_any,10,query_mean,0.67683150,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,precision_any,10,article_type_macro,0.39469717,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,precision_strict,10,query_mean,0.25889805,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,precision_strict,10,article_type_macro,0.11224763,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,tie_rate,10,query_mean,0.03224527,6556,108
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,tie_rate,10,article_type_macro,0.02623263,6556,108
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,ndcg,20,query_mean,0.47767439,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,ndcg,20,article_type_macro,0.34564745,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,precision_any,20,query_mean,0.64714591,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,precision_any,20,article_type_macro,0.33943144,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,precision_strict,20,query_mean,0.23612637,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,precision_strict,20,article_type_macro,0.09484471,6552,104
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,tie_rate,20,query_mean,0.03428157,6556,108
development,1,96x128,96,128,teacher,teacher,primary,656.55549118,656.55549118,409687427,409687427,1600,36864,147456,tie_rate,20,article_type_macro,0.03228964,6556,108
