query_id,query_source,gallery_source,encoding_seconds,search_seconds,end_to_end_seconds
2784,teacher,teacher,0.01731677,0.06716192,0.08447868
2800,teacher,teacher,0.01676112,0.06701945,0.08378056
2831,teacher,teacher,0.01659679,0.06722676,0.08382355
2834,teacher,teacher,0.01645463,0.06708668,0.08354131
2836,teacher,teacher,0.01735870,0.06686248,0.08422117
2842,teacher,teacher,0.01737542,0.06781034,0.08518576
2847,teacher,teacher,0.01736545,0.06785107,0.08521653
2848,teacher,teacher,0.01734568,0.06774976,0.08509543
2858,teacher,teacher,0.01728876,0.06763611,0.08492487
2861,teacher,teacher,0.01724856,0.06757203,0.08482059
2886,teacher,teacher,0.01703575,0.06752470,0.08456045
2916,teacher,teacher,0.01735268,0.06742945,0.08478212
2921,teacher,teacher,0.01745321,0.06721994,0.08467315
2931,teacher,teacher,0.01738524,0.06765586,0.08504111
2934,teacher,teacher,0.01743121,0.06745266,0.08488387
2940,teacher,teacher,0.01726268,0.06755079,0.08481347
2947,teacher,teacher,0.01749409,0.06771734,0.08521143
2973,teacher,teacher,0.01747109,0.06742364,0.08489473
2996,teacher,teacher,0.01731972,0.06739893,0.08471865
3013,teacher,teacher,0.01768414,0.06790555,0.08558969
3042,teacher,teacher,0.01695736,0.06750761,0.08446498
3048,teacher,teacher,0.01786459,0.06800461,0.08586920
3049,teacher,teacher,0.01757504,0.06768859,0.08526363
3057,teacher,teacher,0.01774376,0.06769059,0.08543435
3065,teacher,teacher,0.01745918,0.06794182,0.08540099
3071,teacher,teacher,0.01738713,0.06751296,0.08490010
3078,teacher,teacher,0.01743803,0.06734685,0.08478489
3084,teacher,teacher,0.01762528,0.06741335,0.08503863
3096,teacher,teacher,0.01763576,0.06760396,0.08523971
3110,teacher,teacher,0.01773300,0.06756131,0.08529431
3124,teacher,teacher,0.01736262,0.06727640,0.08463903
3130,teacher,teacher,0.01744335,0.06741406,0.08485741
3131,teacher,teacher,0.01763442,0.06756465,0.08519907
3142,teacher,teacher,0.01759360,0.06730955,0.08490315
3152,teacher,teacher,0.01664638,0.06743811,0.08408449
3159,teacher,teacher,0.01709157,0.06762029,0.08471186
3162,teacher,teacher,0.01662250,0.06770486,0.08432736
3165,teacher,teacher,0.01670719,0.06682681,0.08353400
3170,teacher,teacher,0.01650049,0.06750498,0.08400548
3178,teacher,teacher,0.01673299,0.06711966,0.08385265
