method,fold,size,query_source,gallery_source,protocol,scope,width,height,query_transform_seconds,gallery_transform_seconds,query_source_bytes,gallery_source_bytes,feature_bytes_per_image,uint8_tensor_bytes_per_image,float32_tensor_bytes_per_image,metric,k,aggregation,value,query_count,class_count,passed
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,20,query_mean,0.23893468,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,5,article_type_macro,0.02181386,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,5,query_mean,0.03017084,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,10,article_type_macro,0.02691891,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,10,query_mean,0.03241306,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,20,article_type_macro,0.03074099,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,20,query_mean,0.03387736,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,family,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,coverage,10,query_mean,0.39948139,6556,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,family,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,hit_rate,10,query_mean,0.59488354,2619,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,family,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision,10,query_mean,0.13646430,2619,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,family,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,recall,10,query_mean,0.32502596,2619,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,family,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,10,query_mean,0.03773642,6556,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,5,article_type_macro,0.33522784,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,5,query_mean,0.48545060,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,10,article_type_macro,0.31578986,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,10,query_mean,0.46774604,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,20,article_type_macro,0.30384649,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,20,query_mean,0.45017628,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,5,article_type_macro,0.40780049,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,5,query_mean,0.67005495,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,10,article_type_macro,0.35251240,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,10,query_mean,0.64093407,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,20,article_type_macro,0.30462301,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,20,query_mean,0.61131716,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,5,article_type_macro,0.11819612,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,5,query_mean,0.26477411,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,10,article_type_macro,0.09965605,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,10,query_mean,0.24322344,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,20,article_type_macro,0.08352671,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,20,query_mean,0.21950549,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,5,article_type_macro,0.02708610,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,5,query_mean,0.02968273,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,10,article_type_macro,0.03281644,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,10,query_mean,0.03134533,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,20,article_type_macro,0.03382350,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,primary,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,20,query_mean,0.03435784,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,family,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,coverage,10,query_mean,0.39948139,6556,,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,family,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,hit_rate,10,query_mean,0.57693776,2619,,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,family,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision,10,query_mean,0.13577701,2619,,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,family,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,recall,10,query_mean,0.31748104,2619,,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,family,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,10,query_mean,0.03767541,6556,,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,5,article_type_macro,0.33880964,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,5,query_mean,0.47119069,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,10,article_type_macro,0.31910287,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,10,query_mean,0.45567575,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,20,article_type_macro,0.30465043,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,20,query_mean,0.44000448,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,teacher,primary,development,240.00000000,320.00000000,774.74986615,767.25958317,11525856401.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,5,article_type_macro,0.41450792,6552,104,
