epoch,learning_rate,train_loss,train_macro_f1,validation_loss,validation_macro_f1,model,selected_checkpoint
26,7.631742512670285e-05,0.014455933821352879,0.9972875312950409,0.5532171791283325,0.7086411354876438,g-e1,
27,5.279499846691252e-05,0.01249803211621646,0.9981541179366069,0.5277959702729337,0.7033659791750018,g-e1,
28,3.4227024433899005e-05,0.01165755279168006,0.9982131651194341,0.5209384010340834,0.7123552983907008,g-e1,
29,2.0816937636766188e-05,0.01115200478582188,0.9983476964869243,0.5206746651926979,0.7104172441267024,g-e1,
30,1.2711661792704666e-05,0.01067655801396334,0.9988119082837222,0.5237040042422638,0.711667937073355,g-e1,
1,0.001,0.6510801813595875,0.35898172136160733,0.804664936571719,0.3758921920263144,g-e2,
2,0.0009972883382072,0.4876189847986062,0.5207740198438233,0.701455005375787,0.4626078201049485,g-e2,
3,0.0009891830623632,0.43504479245946676,0.5903610976703664,0.6621055116884005,0.4306878264674105,g-e2,
4,0.0009757729755661001,0.40229668815585906,0.6287455135224969,0.5167415942125007,0.5317236045753063,g-e2,
5,0.000957205001533,0.37383254385624426,0.6576323081354305,0.841889703766814,0.5038722749028376,g-e2,
6,0.0009336825748732,0.34955310965316483,0.6842459341777936,0.5009672287980038,0.6046531895051543,g-e2,
7,0.0009054634122155,0.3281884935984944,0.7067476884074636,0.6564544508652795,0.5082615826426773,g-e2,
8,0.0008728566886113001,0.30663434239427545,0.727500113971125,0.5987138157511865,0.5311561286640204,g-e2,
9,0.0008362196501476001,0.28720255167078207,0.750984767752212,0.5472014851374545,0.5617543495354487,g-e2,
10,0.0007959536998847,0.26536269777856336,0.7711671557487965,1.1363111916027007,0.46088733026279394,g-e2,
11,0.0007525,0.2454023161899544,0.790295614610266,0.7889178276094225,0.5143472919344096,g-e2,
12,0.0007063346383225,0.22267528173970402,0.8139857707255069,0.922577893221122,0.5135480503338471,g-e2,
13,0.0006579634122155,0.2022199725104854,0.8334508327559821,0.80643149688634,0.5456316893434351,g-e2,
14,0.0006079162869547,0.1814119736452453,0.8490580852900417,1.0894656839196442,0.4746728139600632,g-e2,
15,0.0005567415893174,0.15778124665987345,0.8715276195147688,0.8380001603534757,0.5271985873973378,g-e2,
16,0.000505,0.13978024516428028,0.8906797421665376,0.7787024328570731,0.49492078687099017,g-e2,
17,0.00045325841068250005,0.12026603650093567,0.9076228473045524,0.7180932580989079,0.6422224552416024,g-e2,
18,0.0004020837130452,0.10189856973210418,0.9251451387309435,1.6783328397333914,0.47467665671384973,g-e2,
19,0.0003520365877844,0.08566297367783278,0.9383376782954999,0.6464723482090029,0.6356662176485088,g-e2,
20,0.0003036653616774,0.06910101111132044,0.953423962582027,1.3462977133021856,0.49323004911852486,g-e2,
21,0.0002575,0.058637007474052684,0.9617035123836869,0.9825252661649543,0.5683563648407967,g-e2,
22,0.0002140463001152,0.04864982473714538,0.9699886230022404,0.5650042202805278,0.6477221855030102,g-e2,
23,0.0001737803498523,0.041331819755790776,0.9761918148841376,0.6488747541142871,0.6441932813413292,g-e2,
24,0.0001371433113886,0.03452555049982256,0.9811111250602856,0.5782372060820972,0.6689106814739629,g-e2,
25,0.00010453658778440001,0.03056744351993828,0.9845483802365859,0.5356382266480908,0.6933014015005552,g-e2,
26,7.631742512670285e-05,0.02768205696408226,0.9875106280246048,0.546202219137731,0.6797617932389157,g-e2,
27,5.279499846691252e-05,0.02483757478557366,0.9896853797621255,0.5053549642705255,0.6892431744166982,g-e2,
28,3.4227024433899005e-05,0.02351810747851384,0.9902825723285181,0.5144529401792062,0.6950362045806545,g-e2,
29,2.0816937636766188e-05,0.022149295249723262,0.992185883793921,0.5150264925194812,0.6897721413802327,g-e2,
