candidate,experiment_id,condition,fold,support,accuracy,balanced_accuracy,macro_f1,nll,brier,ece,spring_precision,spring_recall,spring_f1
C2,g3-c2-t0-resnet18,clean,3,6550,0.7558778625954199,0.7120719935165077,0.7454441632445239,0.6373723207121035,0.3445577351484207,0.05368821096936896,0.9057591623036649,0.6479400749063671,0.7554585152838428
C2,g3-c2-t0-resnet18,clean,4,6552,0.7457264957264957,0.7007410214488821,0.734809718676507,0.6847330359866781,0.3618890837669772,0.07939754374088058,0.9015544041450777,0.6541353383458647,0.7581699346405228
C2,g3-c2-t0-resnet18,gaussian_blur_radius_1,0,6550,0.6636641221374046,0.6590851996370606,0.6553305303081032,0.8635194913351811,0.4649592449517681,0.09322847960633762,0.7100840336134454,0.6353383458646616,0.6706349206349206
C2,g3-c2-t0-resnet18,gaussian_blur_radius_1,1,6551,0.6252480537322547,0.6438638185417985,0.6300966536149222,0.9345904626358129,0.508660883686933,0.11879389132569096,0.7511961722488039,0.5924528301886792,0.6624472573839663
C2,g3-c2-t0-resnet18,gaussian_blur_radius_1,2,6550,0.6961832061068702,0.6690507462283639,0.6902794662775475,0.7323341847163926,0.406131337782233,0.02811150322200827,0.9005524861878453,0.6150943396226415,0.7309417040358744
C2,g3-c2-t0-resnet18,gaussian_blur_radius_1,3,6550,0.6725190839694657,0.6650965094251571,0.6666075266565152,0.8264701099432339,0.45246431320229935,0.07306706044941352,0.7783018867924528,0.6179775280898876,0.6889352818371608
C2,g3-c2-t0-resnet18,gaussian_blur_radius_1,4,6552,0.6875763125763126,0.6778743532869251,0.6851344707780731,0.8218265623676773,0.44185950878556896,0.08518855290480966,0.8018867924528302,0.6390977443609023,0.7112970711297071
C2,g3-c2-t0-resnet18,jpeg_quality_85,0,6550,0.7280916030534351,0.6996880439483896,0.7196971189848904,0.7201576100455725,0.3848332992486201,0.07662830080438945,0.8895027624309392,0.6052631578947368,0.7203579418344519
C2,g3-c2-t0-resnet18,jpeg_quality_85,1,6551,0.7249274919859563,0.6954888985046161,0.7238440433583662,0.7125960923384138,0.38235617016623086,0.06771496433622293,0.9367816091954023,0.6150943396226415,0.7425968109339408
C2,g3-c2-t0-resnet18,jpeg_quality_85,2,6550,0.7166412213740458,0.6871938187571565,0.7151278710604954,0.6898075478342032,0.38094838428865474,0.0253469377301633,0.9457831325301205,0.5924528301886792,0.728538283062645
