model,fold,partition,mode,batch_size,order,delta,flips,passed
CompactBlurCNN,4,train,runtime_default,128,forward,0.0,0,True
CompactBlurCNN,4,train,runtime_default,128,reverse,0.0009572505950927734,0,False
CompactBlurCNN,4,train,runtime_default,128,shuffle,0.0009572505950927734,0,False
CompactBlurCNN,4,train,ieee,1,forward,6.556510925292969e-07,0,True
CompactBlurCNN,4,train,ieee,1,reverse,6.556510925292969e-07,0,True
CompactBlurCNN,4,train,ieee,1,shuffle,6.556510925292969e-07,0,True
CompactBlurCNN,4,train,ieee,32,forward,2.980232238769531e-07,0,True
CompactBlurCNN,4,train,ieee,32,reverse,2.980232238769531e-07,0,True
CompactBlurCNN,4,train,ieee,32,shuffle,2.980232238769531e-07,0,True
CompactBlurCNN,4,train,ieee,128,forward,0.0,0,True
CompactBlurCNN,4,train,ieee,128,reverse,2.384185791015625e-07,0,True
CompactBlurCNN,4,train,ieee,128,shuffle,1.7881393432617188e-07,0,True
CompactBlurCNN,4,validation,runtime_default,1,forward,0.0012366175651550293,0,False
CompactBlurCNN,4,validation,runtime_default,1,reverse,0.0012366175651550293,0,False
CompactBlurCNN,4,validation,runtime_default,1,shuffle,0.0012366175651550293,0,False
CompactBlurCNN,4,validation,runtime_default,32,forward,0.000804215669631958,0,False
CompactBlurCNN,4,validation,runtime_default,32,reverse,0.000804215669631958,0,False
CompactBlurCNN,4,validation,runtime_default,32,shuffle,0.000804215669631958,0,False
CompactBlurCNN,4,validation,runtime_default,128,forward,0.0,0,True
CompactBlurCNN,4,validation,runtime_default,128,reverse,0.000804215669631958,0,False
CompactBlurCNN,4,validation,runtime_default,128,shuffle,0.000779271125793457,0,False
CompactBlurCNN,4,validation,ieee,1,forward,7.450580596923828e-07,0,True
CompactBlurCNN,4,validation,ieee,1,reverse,7.450580596923828e-07,0,True
CompactBlurCNN,4,validation,ieee,1,shuffle,7.450580596923828e-07,0,True
CompactBlurCNN,4,validation,ieee,32,forward,2.384185791015625e-07,0,True
CompactBlurCNN,4,validation,ieee,32,reverse,2.384185791015625e-07,0,True
CompactBlurCNN,4,validation,ieee,32,shuffle,2.384185791015625e-07,0,True
CompactBlurCNN,4,validation,ieee,128,forward,0.0,0,True
CompactBlurCNN,4,validation,ieee,128,reverse,1.7881393432617188e-07,0,True
CompactBlurCNN,4,validation,ieee,128,shuffle,2.086162567138672e-07,0,True
