family,tuning_id,experiment_id,run_id,fold,history_sha256,epoch,learning_rate,train_loss,validation_loss,validation_accuracy,validation_macro_f1,common_horizon,used_in_five_fold_summary
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,11,0.0007344376304427783,0.6344989371130497,0.6919484197083474,0.7221798198748283,0.7074406957671028,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,12,0.0006853145073637911,0.6283049990945022,0.6968930157481796,0.7079835139673333,0.7054789745264594,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,13,0.0006340187411206335,0.6071762966796665,0.6794731217365267,0.7246221950847199,0.7155198795089238,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,14,0.0005811517276723399,0.6024403042369613,0.6782413250052316,0.7234010074797741,0.7202549138853345,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,15,0.0005273332844148203,0.5869035071775609,0.6854148802275404,0.730117539306976,0.708939904459772,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,16,0.00047319438338859726,0.5732468763259283,0.6624719230314554,0.7388185009922149,0.7232942800039672,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,17,0.00041936975370853396,0.5666552698391102,0.6537916960561209,0.7440085483132346,0.7254676315600554,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,18,0.00036649043994530075,0.5504821932422288,0.6635611000324529,0.7383605556403603,0.7211727631567258,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,19,0.0003151764037047542,0.5343000515504935,0.6724364005269176,0.7414135246527248,0.7227912627817227,18,False
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,20,0.00026602925514494373,0.5223445825272504,0.648736257204444,0.7438558998626164,0.7274288024996929,18,False
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,21,0.0002196251996470665,0.5072557666667336,0.6425624557295532,0.7533201038009464,0.740002342703693,18,False
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,22,0.0001765082823342032,0.49514998847378566,0.6566739062683543,0.7549992367577469,0.7369028799619695,18,False
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,23,0.00013718400963967292,0.4881097354258156,0.6499410214141714,0.7517936192947642,0.7321063284312244,18,False
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,24,0.00010211342270629437,0.47557833259155363,0.652846363560332,0.75301480689971,0.7358509799413323,18,False
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,25,7.170769210051748e-05,0.46801209017326156,0.6535916136268659,0.7568310181651656,0.7386217303783068,18,False
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,26,4.632329721347056e-05,0.45829304929234926,0.6562475059673343,0.7554571821096016,0.7371393424511101,18,False
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f2-s2753-e46d771b6d56,2,3cd913662f64a5f5eb9c97b86eb8b4c25454017a5d1446e24e26b573f6d58dfc,1,0.001,1.0117104218278463,0.864631123997783,0.6340458015267175,0.47886062707211763,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f2-s2753-e46d771b6d56,2,3cd913662f64a5f5eb9c97b86eb8b4c25454017a5d1446e24e26b573f6d58dfc,2,0.0009970974765324432,0.8361135303498733,0.770412725692487,0.6793893129770993,0.6549078318639641,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f2-s2753-e46d771b6d56,2,3cd913662f64a5f5eb9c97b86eb8b4c25454017a5d1446e24e26b573f6d58dfc,3,0.0009883670094660564,0.7827667027162521,0.8312769603183251,0.6551145038167939,0.655385949216538,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f2-s2753-e46d771b6d56,2,3cd913662f64a5f5eb9c97b86eb8b4c25454017a5d1446e24e26b573f6d58dfc,4,0.0009739108857318951,0.7540398760205511,0.7900054588299671,0.6659541984732824,0.6281953411080279,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f2-s2753-e46d771b6d56,2,3cd913662f64a5f5eb9c97b86eb8b4c25454017a5d1446e24e26b573f6d58dfc,5,0.0009538985901633824,0.7259866701065755,0.7344874496951358,0.7054961832061069,0.6797023088102088,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f2-s2753-e46d771b6d56,2,3cd913662f64a5f5eb9c97b86eb8b4c25454017a5d1446e24e26b573f6d58dfc,6,0.0009285647486286424,0.7131568805450693,0.7489555987783971,0.6890076335877863,0.6616395584195196,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f2-s2753-e46d771b6d56,2,3cd913662f64a5f5eb9c97b86eb8b4c25454017a5d1446e24e26b573f6d58dfc,7,0.0008982063772567181,0.693038121585204,0.7117522215115205,0.7065648854961832,0.697129929949479,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f2-s2753-e46d771b6d56,2,3cd913662f64a5f5eb9c97b86eb8b4c25454017a5d1446e24e26b573f6d58dfc,8,0.0008631794001950215,0.6813884297750408,0.6902740415180002,0.7262595419847329,0.7101618114196567,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f2-s2753-e46d771b6d56,2,3cd913662f64a5f5eb9c97b86eb8b4c25454017a5d1446e24e26b573f6d58dfc,9,0.0008238944767241306,0.6648173044393277,0.6687396456085088,0.7299236641221374,0.7150970579158834,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f2-s2753-e46d771b6d56,2,3cd913662f64a5f5eb9c97b86eb8b4c25454017a5d1446e24e26b573f6d58dfc,10,0.0007808121866531934,0.6536119566029075,0.6776866621643532,0.7219847328244274,0.6964029868157591,18,True
