model,fold,scope,label,precision,recall,f1,support,predicted_count
gray10,4,gray,Unisex,0.6950354609929078,0.5552407932011332,0.6173228346456693,353,282
gray10,4,gray,Women,0.9237104464672735,0.8860706860706861,0.9044991511035654,2405,2307
gray10,0,clean_train,Boys,0.9797794117647058,0.9726277372262774,0.9761904761904762,548,544
gray10,0,clean_train,Girls,0.9610983981693364,0.963302752293578,0.9621993127147767,436,437
gray10,0,clean_train,Men,0.9831194196428571,0.9923255650214743,0.9877010406811731,14203,14336
gray10,0,clean_train,Unisex,0.9569034317637669,0.8497519489723601,0.9001501501501501,1411,1253
gray10,0,clean_train,Women,0.9850777202072539,0.987944294325504,0.9865089248650892,9622,9650
gray10,4,clean_train,Boys,0.9705340699815838,0.9652014652014652,0.967860422405877,546,543
gray10,4,clean_train,Girls,0.9674418604651163,0.9585253456221198,0.9629629629629629,434,430
gray10,4,clean_train,Men,0.9807116496065733,0.991761143581438,0.9862054477977733,14201,14361
gray10,4,clean_train,Unisex,0.9436178543461238,0.8527954706298655,0.895910780669145,1413,1277
gray10,4,clean_train,Women,0.9868818323789693,0.9851382249012679,0.9860092578145316,9622,9605
parent,pooled,clean,Boys,0.6870229007633588,0.656934306569343,0.6716417910447762,274,262
parent,pooled,clean,Girls,0.6127450980392157,0.5787037037037037,0.5952380952380952,216,204
parent,pooled,clean,Men,0.9215552523874488,0.9511405237961138,0.9361141906873615,7102,7330
parent,pooled,clean,Unisex,0.6899810964083176,0.5155367231638418,0.5901374292643492,708,529
parent,pooled,clean,Women,0.9201671891327063,0.9153846153846154,0.9177696717040125,4810,4785
parent,0,clean,Boys,0.7391304347826086,0.625,0.6772908366533864,136,115
parent,0,clean,Girls,0.6371681415929203,0.6728971962616822,0.6545454545454545,107,113
parent,0,clean,Men,0.919087700244366,0.9535211267605633,0.9359878335407161,3550,3683
parent,0,clean,Unisex,0.7322175732217573,0.49295774647887325,0.5892255892255892,355,239
parent,0,clean,Women,0.9171868497711194,0.9164241164241165,0.9168053244592346,2405,2403
parent,4,clean,Boys,0.6462585034013606,0.6884057971014492,0.6666666666666666,138,147
parent,4,clean,Girls,0.5824175824175825,0.48623853211009177,0.53,109,91
parent,4,clean,Men,0.9240471620510008,0.9487612612612613,0.9362411446034171,3552,3647
parent,4,clean,Unisex,0.6551724137931034,0.5382436260623229,0.5909797822706065,353,290
parent,4,clean,Women,0.9231738035264484,0.9143451143451143,0.9187382494255275,2405,2382
parent,pooled,gray,Boys,0.6411290322580645,0.5802919708029197,0.6091954022988506,274,248
parent,pooled,gray,Girls,0.6,0.2777777777777778,0.379746835443038,216,100
parent,pooled,gray,Men,0.8797729618163055,0.9602928752464095,0.9182711727480813,7102,7752
parent,pooled,gray,Unisex,0.7023346303501945,0.5098870056497176,0.5908346972176759,708,514
parent,pooled,gray,Women,0.9237099644128114,0.8634095634095634,0.892542445733935,4810,4496
parent,0,gray,Boys,0.7115384615384616,0.5441176470588235,0.6166666666666667,136,104
parent,0,gray,Girls,0.5660377358490566,0.2803738317757009,0.375,107,53
parent,0,gray,Men,0.8751282051282051,0.9614084507042253,0.916241610738255,3550,3900
parent,0,gray,Unisex,0.7444933920704846,0.476056338028169,0.5807560137457045,355,227
parent,0,gray,Women,0.9144997796386073,0.8627858627858628,0.887890457851947,2405,2269
parent,4,gray,Boys,0.5902777777777778,0.6159420289855072,0.6028368794326241,138,144
parent,4,gray,Girls,0.6382978723404256,0.27522935779816515,0.38461538461538464,109,47
parent,4,gray,Men,0.8844755970924195,0.9591779279279279,0.9203133441383036,3552,3852
parent,4,gray,Unisex,0.6689895470383276,0.5439093484419264,0.6,353,287
parent,4,gray,Women,0.9330938482263135,0.8640332640332641,0.8972366148531952,2405,2227
G2,pooled,clean,Boys,0.6791044776119403,0.6642335766423357,0.6715867158671587,274,268
G2,pooled,clean,Girls,0.6354166666666666,0.5648148148148148,0.5980392156862745,216,192
