outer_fold,inner_calibration_fold,class_name,calibration_positive_rows,calibration_positive_families,slope_a,intercept_b,reversed_slope,outer_margin_ap,outer_calibrated_ap,outer_true_margin_median,outer_true_probability_median,fit_class_weight
0,4,NA,11,11,-3.6153938298892587,1.9045443876612238,False,0.09079524464630481,0.08432013617799812,-0.8401273734099117,0.009359173219719893,0.6853006523306658
0,4,Party,3,1,0.3109018959699682,7.945120353118846,True,0.001047828312321066,0.0009790607240763216,-1.1091110120015468,0.0005447755374074047,4.381793997607117
0,4,Smart Casual,9,7,-0.33611490959552964,6.022335018472368,False,0.007134619846011293,0.010849306487060895,-1.2981119213978822,0.001355848807967872,0.9170383807695471
0,4,Sports,670,619,-1.7525277953254412,0.6731204087540097,False,0.6364591817496003,0.6497330820681548,0.25283897660501453,0.4212554502130982,0.0302873243074234
0,4,Travel,4,4,-5.993698354701537,0.5150323342793116,False,0.2519499092214171,0.2523994265987138,-1.0894074806237417,0.0013545746939396133,1.885429594725108
4,0,Casual,5037,3497,-1.7039880970673502,-0.6294984237425805,False,0.9414633665532478,0.9519205451789594,1.0101657432367903,0.9270161283367568,0.026225131951746757
4,0,Ethnic,438,285,-1.7311808166206708,0.8828200639770971,False,0.8431302710585108,0.8338841402285515,1.1964369682568479,0.6236964289712807,0.03590728114540629
4,0,Formal,383,197,-1.6931453251485686,0.904141643549527,False,0.6967342405941048,0.7318012276563026,0.6663512257631774,0.49285641172669326,0.03801763716298664
4,0,NA,11,10,-3.178870720470156,2.2757997344804313,False,0.299614522907439,0.36216001127957165,-0.525003093109796,0.03435176940755978,0.6853006523306658
4,0,Party,3,3,-2.479424426991568,4.610107850937103,False,0.001438549533609307,0.0010967623948947565,-1.149433574522282,0.0006775774557049404,4.381793997607117
4,0,Smart Casual,9,6,-1.489094075535075,4.309308907140181,False,0.0022068376912602918,0.0022180540280223853,-1.607314048776852,0.001319478297295506,0.9170383807695471
4,0,Sports,668,606,-1.7784719514136151,0.752668266474743,False,0.6236989350697609,0.646223828149468,0.11684050803787704,0.3849798867605988,0.0302873243074234
