model,scope,class_index,class_name,f1,precision,predicted_count,recall,support
E7,all_available_folds,6.0,Smart Casual,0.017699115044247787,0.015151515151515152,66,0.02127659574468085,47
E7,all_available_folds,7.0,Sports,0.5578378378378378,0.7023593466424682,2204,0.46264196054991036,3346
E7,all_available_folds,8.0,Travel,0.056074766355140186,0.03529411764705882,85,0.13636363636363635,22
E7,folds_0_4,0.0,Casual,0.9096964139195907,0.8845504036042801,10654,0.9363139592647789,10065
E7,folds_0_4,1.0,Ethnic,0.7655786350148368,0.7943349753694581,812,0.738831615120275,873
E7,folds_0_4,2.0,Formal,0.6813793103448276,0.736214605067064,671,0.6341463414634146,779
E7,folds_0_4,3.0,Home,0.0,0.0,0,0.0,1
E7,folds_0_4,4.0,NA,0.16666666666666666,0.12,50,0.2727272727272727,22
E7,folds_0_4,5.0,Party,0.0,0.0,2,0.0,6
E7,folds_0_4,6.0,Smart Casual,0.0,0.0,18,0.0,18
E7,folds_0_4,7.0,Sports,0.5562556255625563,0.6990950226244343,884,0.4618834080717489,1338
E7,folds_0_4,8.0,Travel,0.07407407407407407,0.05263157894736842,19,0.125,8
E8,all_available_folds,0.0,Casual,0.9305225421813507,0.9123209169054441,26175,0.9494652300107351,25151
E8,all_available_folds,1.0,Ethnic,0.8473771659150249,0.8793103448275862,2030,0.8176820888685296,2183
E8,all_available_folds,2.0,Formal,0.7770700636942676,0.8048378229796591,1819,0.7511544381734223,1949
E8,all_available_folds,3.0,Home,0.0,0.0,0,0.0,1
E8,all_available_folds,4.0,NA,0.16901408450704225,0.14814814814814814,81,0.19672131147540983,61
E8,all_available_folds,5.0,Party,0.07692307692307691,0.07142857142857142,14,0.08333333333333333,12
E8,all_available_folds,6.0,Smart Casual,0.10344827586206896,0.08695652173913043,69,0.1276595744680851,47
E8,all_available_folds,7.0,Sports,0.666101982043029,0.7688697692608526,2557,0.5875672444710102,3346
E8,all_available_folds,8.0,Travel,0.20408163265306123,0.18518518518518517,27,0.22727272727272727,22
E8,folds_0_4,0.0,Casual,0.9306699147381242,0.9130975143403441,10460,0.9489319423745654,10065
