model,scope,class_name,support,prevalence,average_precision,roc_auc,true_top1,true_top2,true_top3,true_probability_median,largest_probability
E4,folds_0_4,Home,1,7.627765064836003e-05,0.0001392369813422445,0.45220840643832483,0.0,0.0,0.0,2.9646841e-07,0.02228093
E4,folds_0_4,NA,22,0.0016781083142639206,0.13899677831643514,0.9075593187374973,0.09090909090909091,0.45454545454545453,0.8181818181818182,0.0014086942,0.9998597
E4,folds_0_4,Party,6,0.0004576659038901602,0.005067921498654289,0.7048992673992673,0.0,0.0,0.5,0.0005021270149999999,0.189389
E4,folds_0_4,Smart Casual,18,0.0013729977116704805,0.03945320637291088,0.7630317072342737,0.0,0.2777777777777778,0.6666666666666666,0.00014685803999999998,0.7938039
E4,folds_0_4,Sports,1338,0.10205949656750572,0.689941043274701,0.9159989603157553,0.5582959641255605,0.9304932735426009,0.9648729446935725,0.7738049650000001,1.0
E4,folds_0_4,Travel,8,0.0006102212051868803,0.12973815968195748,0.7603514730575485,0.125,0.25,0.75,0.00026087570500000004,0.99973506
E5,all_available_folds,Casual,25151,0.767453924081533,0.9671396274155603,0.9197175630507833,0.9536797741640491,0.9983300862788755,0.999920480298994,0.9256822,0.9992436
E5,all_available_folds,Ethnic,2183,0.06661174173074576,0.9162697363944237,0.9849357372605733,0.8080622995877234,0.9761795693999084,0.98900595510765,0.8984234,0.9993699
E5,all_available_folds,Formal,1949,0.05947150006102771,0.8435143783555611,0.9719298990893352,0.741405849153412,0.9363776295536173,0.9769112365315546,0.8162133,0.9983582
E5,all_available_folds,Home,1,3.0513853289393385e-05,0.0017889087656529517,0.9829727502975191,0.0,0.0,0.0,0.023116443,0.06940459
E5,all_available_folds,NA,61,0.0018613450506529965,0.1409621246668805,0.8599463458173944,0.14754098360655737,0.5081967213114754,0.8032786885245902,0.055121776,0.97975624
E5,all_available_folds,Party,12,0.0003661662394727206,0.04291951798859289,0.7304334554334555,0.0,0.16666666666666666,0.5,0.013483759,0.28099582
E5,all_available_folds,Smart Casual,47,0.001434151104601489,0.025340895413313424,0.8753116720576045,0.0,0.425531914893617,0.5957446808510638,0.027747015,0.5073269
E5,all_available_folds,Sports,3346,0.10209935310631027,0.7326521254089935,0.9381801915583556,0.6117752540346683,0.9473998804542738,0.9775851763299462,0.62905267,0.99992144
E5,all_available_folds,Travel,22,0.0006713047723666544,0.18127913921152763,0.8572810548230395,0.13636363636363635,0.5,0.7727272727272727,0.0402042215,0.9275916
E5,folds_0_4,Casual,10065,0.7677345537757437,0.9663667190613806,0.9174215056973677,0.9520119225037258,0.998012916045703,0.9999006458022851,0.9244024,0.9985977
E5,folds_0_4,Ethnic,873,0.06659038901601831,0.9115959835457691,0.985486058515379,0.8132875143184422,0.981672394043528,0.993127147766323,0.8979189,0.99899024
E5,folds_0_4,Formal,779,0.059420289855072465,0.8430224167945467,0.9739360883145258,0.7265725288831836,0.938382541720154,0.9794608472400513,0.79774284,0.9983582
E5,folds_0_4,Home,1,7.627765064836003e-05,0.005780346820809248,0.9868792432679838,0.0,0.0,0.0,0.023116443,0.0597989
E5,folds_0_4,NA,22,0.0016781083142639206,0.24324401832972928,0.8896317237163814,0.22727272727272727,0.5,0.8181818181818182,0.0620178435,0.92428863
E5,folds_0_4,Party,6,0.0004576659038901602,0.14818833322320582,0.6862535612535612,0.0,0.3333333333333333,0.6666666666666666,0.0381668955,0.28099582
E5,folds_0_4,Smart Casual,18,0.0013729977116704805,0.08021400484183948,0.8828037478358285,0.0,0.6666666666666666,0.7777777777777778,0.0422607745,0.3672162
E5,folds_0_4,Sports,1338,0.10205949656750572,0.7260352368014417,0.9354075846667144,0.6098654708520179,0.9402092675635276,0.9738415545590433,0.6397058,0.99988115
E5,folds_0_4,Travel,8,0.0006102212051868803,0.16116550837483531,0.7664860326667684,0.125,0.625,0.75,0.0402042215,0.9219582
E6,all_available_folds,Casual,25151,0.767453924081533,0.968534433900757,0.9212581776963349,0.9485109935986641,0.9996819211959763,1.0,0.91827303,0.9998832
E6,all_available_folds,Ethnic,2183,0.06661174173074576,0.9122401025950483,0.9874107211944951,0.8135593220338984,0.9683921209344938,0.9903802107191938,0.9162741,0.9999658
E6,all_available_folds,Formal,1949,0.05947150006102771,0.8353858601311079,0.9734361823288458,0.7275525910723448,0.926629040533607,0.982555156490508,0.813186,0.9999949
E6,all_available_folds,Home,1,3.0513853289393385e-05,7.419498441905327e-05,0.5887522504653504,0.0,0.0,0.0,1.52194825e-05,0.03410183
E6,all_available_folds,NA,61,0.0018613450506529965,0.13793160863966059,0.8928685442456565,0.16393442622950818,0.4426229508196721,0.5737704918032787,0.024097448,0.98156184
E6,all_available_folds,Party,12,0.0003661662394727206,0.010677287878519978,0.816992266992267,0.0,0.0,0.16666666666666666,0.000621881035,0.48655927
E6,all_available_folds,Smart Casual,47,0.001434151104601489,0.04092425750019127,0.8892193163532337,0.02127659574468085,0.2765957446808511,0.5319148936170213,0.0131407175,0.62564546
E6,all_available_folds,Sports,3346,0.10209935310631027,0.7400364402801552,0.9421807645458234,0.6105797967722654,0.9757919904363419,0.9970113568439928,0.61286867,0.99738246
E6,all_available_folds,Travel,22,0.0006713047723666544,0.10901439543987428,0.9093060374739765,0.13636363636363635,0.18181818181818182,0.6363636363636364,0.006696395000000001,0.9141948
E6,folds_0_4,Casual,10065,0.7677345537757437,0.9680505104431161,0.9192058189910084,0.9462493790362643,0.9996025832091406,1.0,0.9140743,0.9993186
E6,folds_0_4,Ethnic,873,0.06659038901601831,0.9103603784073938,0.9868923244725379,0.8155784650630011,0.9725085910652921,0.9908361970217641,0.9184629,0.9998147
E6,folds_0_4,Formal,779,0.059420289855072465,0.8375970364265187,0.9774466577602875,0.72400513478819,0.9396662387676509,0.9858793324775353,0.80736905,0.9998429
E6,folds_0_4,Home,1,7.627765064836003e-05,0.000273972602739726,0.7216416202608895,0.0,0.0,0.0,1.52194825e-05,0.022070168
E6,folds_0_4,NA,22,0.0016781083142639206,0.2129777798194744,0.9005126139142031,0.18181818181818182,0.5454545454545454,0.7272727272727273,0.05153901,0.96785194
