method,fold,size,query_source,gallery_source,protocol,scope,checkpoint_fingerprint,config_fingerprint,descriptor_fingerprint,width,height,query_transform_seconds,gallery_transform_seconds,query_source_bytes,gallery_source_bytes,feature_bytes_per_image,uint8_tensor_bytes_per_image,float32_tensor_bytes_per_image,metric,k,aggregation,value,query_count,class_count,passed
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,ndcg,5,article_type_macro,0.42751183,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_any,5,query_mean,0.76978022,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_any,5,article_type_macro,0.54632853,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_strict,5,query_mean,0.21926129,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_strict,5,article_type_macro,0.11862249,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,tie_rate,5,query_mean,0.03471629,6556,108,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,tie_rate,5,article_type_macro,0.02410887,6556,108,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,ndcg,10,query_mean,0.50025080,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,ndcg,10,article_type_macro,0.41148456,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_any,10,query_mean,0.74155983,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_any,10,article_type_macro,0.47541780,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_strict,10,query_mean,0.20695971,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_strict,10,article_type_macro,0.10724103,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,tie_rate,10,query_mean,0.03848383,6556,108,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,tie_rate,10,article_type_macro,0.02859667,6556,108,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,ndcg,20,query_mean,0.48667933,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,ndcg,20,article_type_macro,0.39945414,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_any,20,query_mean,0.70999695,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_any,20,article_type_macro,0.40292646,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_strict,20,query_mean,0.18920177,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_strict,20,article_type_macro,0.09101567,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,tie_rate,20,query_mean,0.04093197,6556,108,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,tie_rate,20,article_type_macro,0.03363605,6556,108,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,family,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,coverage,10,query_mean,0.39948139,6556,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,family,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,tie_rate,10,query_mean,0.04055827,6556,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,family,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,recall,10,query_mean,0.37135549,2619,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,family,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,hit_rate,10,query_mean,0.64528446,2619,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,family,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision,10,query_mean,0.16071019,2619,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1016.51920268,7550899200.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,ndcg,5,query_mean,0.50511995,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1016.51920268,7550899200.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,ndcg,5,article_type_macro,0.39575365,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1016.51920268,7550899200.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_any,5,query_mean,0.74105617,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1016.51920268,7550899200.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_any,5,article_type_macro,0.50094600,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1016.51920268,7550899200.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_strict,5,query_mean,0.23308913,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1016.51920268,7550899200.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,precision_strict,5,article_type_macro,0.11325278,6552,104,
