label,count,share,is_blank,column
10134,1,2.589868434683518e-05,False,id
10135,1,2.589868434683518e-05,False,id
10136,1,2.589868434683518e-05,False,id
10137,1,2.589868434683518e-05,False,id
10138,1,2.589868434683518e-05,False,id
10139,1,2.589868434683518e-05,False,id
10140,1,2.589868434683518e-05,False,id
10141,1,2.589868434683518e-05,False,id
10142,1,2.589868434683518e-05,False,id
10143,1,2.589868434683518e-05,False,id
10144,1,2.589868434683518e-05,False,id
10145,1,2.589868434683518e-05,False,id
10146,1,2.589868434683518e-05,False,id
10147,1,2.589868434683518e-05,False,id
10148,1,2.589868434683518e-05,False,id
10149,1,2.589868434683518e-05,False,id
10150,1,2.589868434683518e-05,False,id
10151,1,2.589868434683518e-05,False,id
10152,1,2.589868434683518e-05,False,id
10153,1,2.589868434683518e-05,False,id
10154,1,2.589868434683518e-05,False,id
10155,1,2.589868434683518e-05,False,id
10156,1,2.589868434683518e-05,False,id
10157,1,2.589868434683518e-05,False,id
10158,1,2.589868434683518e-05,False,id
10159,1,2.589868434683518e-05,False,id
10160,1,2.589868434683518e-05,False,id
10161,1,2.589868434683518e-05,False,id
10162,1,2.589868434683518e-05,False,id
10164,1,2.589868434683518e-05,False,id
10166,1,2.589868434683518e-05,False,id
10167,1,2.589868434683518e-05,False,id
10168,1,2.589868434683518e-05,False,id
10169,1,2.589868434683518e-05,False,id
10170,1,2.589868434683518e-05,False,id
10171,1,2.589868434683518e-05,False,id
10172,1,2.589868434683518e-05,False,id
10173,1,2.589868434683518e-05,False,id
10174,1,2.589868434683518e-05,False,id
10175,1,2.589868434683518e-05,False,id
10176,1,2.589868434683518e-05,False,id
10177,1,2.589868434683518e-05,False,id
10178,1,2.589868434683518e-05,False,id
10179,1,2.589868434683518e-05,False,id
10180,1,2.589868434683518e-05,False,id
10181,1,2.589868434683518e-05,False,id
10182,1,2.589868434683518e-05,False,id
10183,1,2.589868434683518e-05,False,id
10184,1,2.589868434683518e-05,False,id
10185,1,2.589868434683518e-05,False,id
10186,1,2.589868434683518e-05,False,id
10187,1,2.589868434683518e-05,False,id
10188,1,2.589868434683518e-05,False,id
10189,1,2.589868434683518e-05,False,id
10190,1,2.589868434683518e-05,False,id
10192,1,2.589868434683518e-05,False,id
10193,1,2.589868434683518e-05,False,id
10194,1,2.589868434683518e-05,False,id
10195,1,2.589868434683518e-05,False,id
10196,1,2.589868434683518e-05,False,id
10197,1,2.589868434683518e-05,False,id
10198,1,2.589868434683518e-05,False,id
10199,1,2.589868434683518e-05,False,id
10200,1,2.589868434683518e-05,False,id
10202,1,2.589868434683518e-05,False,id
10203,1,2.589868434683518e-05,False,id
10204,1,2.589868434683518e-05,False,id
10205,1,2.589868434683518e-05,False,id
10207,1,2.589868434683518e-05,False,id
10208,1,2.589868434683518e-05,False,id
10209,1,2.589868434683518e-05,False,id
10210,1,2.589868434683518e-05,False,id
10211,1,2.589868434683518e-05,False,id
10213,1,2.589868434683518e-05,False,id
10214,1,2.589868434683518e-05,False,id
10215,1,2.589868434683518e-05,False,id
10216,1,2.589868434683518e-05,False,id
10217,1,2.589868434683518e-05,False,id
10219,1,2.589868434683518e-05,False,id
10220,1,2.589868434683518e-05,False,id
10221,1,2.589868434683518e-05,False,id
10222,1,2.589868434683518e-05,False,id
10223,1,2.589868434683518e-05,False,id
10224,1,2.589868434683518e-05,False,id
10225,1,2.589868434683518e-05,False,id
10226,1,2.589868434683518e-05,False,id
10227,1,2.589868434683518e-05,False,id
10228,1,2.589868434683518e-05,False,id
10229,1,2.589868434683518e-05,False,id
10230,1,2.589868434683518e-05,False,id
10231,1,2.589868434683518e-05,False,id
10235,1,2.589868434683518e-05,False,id
10236,1,2.589868434683518e-05,False,id
10237,1,2.589868434683518e-05,False,id
10238,1,2.589868434683518e-05,False,id
10239,1,2.589868434683518e-05,False,id
10240,1,2.589868434683518e-05,False,id
10241,1,2.589868434683518e-05,False,id
10242,1,2.589868434683518e-05,False,id
10243,1,2.589868434683518e-05,False,id
10244,1,2.589868434683518e-05,False,id
10245,1,2.589868434683518e-05,False,id
10246,1,2.589868434683518e-05,False,id
10247,1,2.589868434683518e-05,False,id
10248,1,2.589868434683518e-05,False,id
10249,1,2.589868434683518e-05,False,id
10250,1,2.589868434683518e-05,False,id
