id_left,id_right,distance,dhash_left,dhash_right
28592,30159,2,0300032b2b2b3b00,0300032b2b3b3300
29282,29292,2,4d4d0f3333311397,4d4d0e3333331397
30045,45254,2,0d0d8e17178e0d0d,0d4d8e17178e4d0d
30786,31624,2,0d4d0f3333170717,4d4d0f3333171717
31686,44821,2,2880796e07034001,2800796e07036001
32046,34239,2,4d4d0f333323371e,4d4d0f3333233f16
32138,43025,2,69715ddd55652537,69715ddd55712537
32576,40565,2,0d4d96968696960e,4d4d96969696960e
32614,36024,2,0a410e3323060106,02410e33230e0106
32767,33945,2,4d4d0f333333171f,4d4d0f333323171e
32963,32969,2,0d4d1e3b171f1f2f,0d4d1e3f1f1f1f2f
33482,38487,2,00610c3b630f0002,00610c33230f0002
35947,36857,2,4d4d0f1333233317,4d4d0e1333233397
36020,36884,2,04410c332b0e000e,04410c33230e0006
37463,38364,2,002300032b2b2b00,000300232b2b2b00
41945,44208,2,002803381f036003,0028033837036003
43480,45605,2,1804393c07034009,1804793c17034009
44057,46957,2,000008000c0c0c00,000008080c0c0800
44418,46796,2,6804793c0f034009,7804797c0f034009
44957,45766,2,004d4d4d4d4d0d08,004d4d4d4d4d4d00
44957,46630,2,004d4d4d4d4d0d08,004d4d4d4d4d4d00
44957,46669,2,004d4d4d4d4d0d08,004d4d4d4d4d4d00
45254,51549,2,0d4d8e17178e4d0d,4d4f8e17178e4d0d
45766,46635,2,004d4d4d4d4d4d00,000c4d4d4d4d4d00
46630,46635,2,004d4d4d4d4d4d00,000c4d4d4d4d4d00
46635,46662,2,000c4d4d4d4d4d00,000c4d4d4d4d0c00
46635,46669,2,000c4d4d4d4d4d00,004d4d4d4d4d4d00
46635,49102,2,000c4d4d4d4d4d00,200c4d4d4d4d0d00
46662,49102,2,000c4d4d4d4d0c00,200c4d4d4d4d0d00
46682,46950,2,0008000c4d0e0e0c,0008000c4d0e0e00
1848,12015,3,0d4d0e3733171717,4d4d0f3333171717
1848,12327,3,0d4d0e3733171717,0d0d0e3333171f17
1848,14287,3,0d4d0e3733171717,4d4d0f3333171717
1848,30786,3,0d4d0e3733171717,0d4d0f3333170717
1848,31624,3,0d4d0e3733171717,4d4d0f3333171717
1862,19957,3,0d4d0e36333b1f16,0d0d0e36332b1f17
2005,2480,3,0f4c8f133b171717,0d4c9f132b171717
2005,19719,3,0f4c8f133b171717,0d4c0f1333171717
2371,6393,3,1804793c17034001,18043b3c17034003
2371,43480,3,1804793c17034001,1804393c07034009
3902,33501,3,001696ae96968600,0016968e96961600
3921,25033,3,9696969696969616,14969e9696969616
3921,37989,3,9696969696969616,9696969696969600
4021,10095,3,1802186e170f4001,1802182f170f4003
4093,5988,3,0d4c97131717070e,0d4c973317170f8e
4745,7832,3,4d4d0f333323338e,4d4d0f3333212b8e
4745,32046,3,4d4d0f333323338e,4d4d0f333323371e
4787,7636,3,9696969696969636,9696969696b63636
4787,7782,3,9696969696969636,9696969696b63636
4787,8883,3,9696969696969636,968e96969696b636
4896,39334,3,0000060e1c160400,0008060e0c060400
4919,33142,3,2a00171796961600,2b00171796960e00
4919,38956,3,2a00171796961600,2b00171796960e00
4919,41966,3,2a00171796961600,2b00071796961200
4937,4943,3,000e079696969600,000e171796969600
4937,43137,3,000e079696969600,000c0f9696968600
5231,5988,3,0d4c97330717078f,0d4c973317170f8e
5582,27479,3,0001006133333300,0000416133333300
5667,20170,3,0f4d96333717160e,0f0d16373717160e
5980,9646,3,0d4d173b3b17170f,0d4d9f3b3b171f0f
6949,26293,3,0d4d9e33171f1f0f,0d4d963317170f0f
6949,32963,3,0d4d9e33171f1f0f,0d4d1e3b171f1f2f
7156,9646,3,0d4d8e3b3b1f1f0f,0d4d9f3b3b171f0f
7658,10880,3,0f4c97333317070f,0d4c97331317170f
7788,20170,3,0f4d16331717160e,0f0d16373717160e
7832,25394,3,4d4d0f3333212b8e,4d4d0f332323238e
8214,24182,3,1802183e07032001,1806181e07032005
8268,13427,3,0d4d97b31707070f,0f4d973317070707
8314,26062,3,4d0d0f3333231717,4d4d0f3333371717
8314,32767,3,4d0d0f3333231717,4d4d0f333333171f
8314,33945,3,4d0d0f3333231717,4d4d0f333323171e
8685,16946,3,0009004b0b9f4009,000924490b9f4009
8685,38171,3,0009004b0b9f4009,004900430b1f4009
8709,38231,3,004114410b0f4009,000114411b0f400d
8768,38231,3,000114410b0f0009,000114411b0f400d
8768,50201,3,000114410b0f0009,00011061030f0009
8855,9809,3,4d4d0f1333171717,4d4d0f1323331717
8855,13668,3,4d4d0f1333171717,4d4d0f3323171797
8855,19854,3,4d4d0f1333171717,4d4d0f132307171f
8855,29829,3,4d4d0f1333171717,4d4d0f1333251717
8855,30786,3,4d4d0f1333171717,0d4d0f3333170717
8860,9809,3,4d4d0f1333171717,4d4d0f1323331717
8860,13668,3,4d4d0f1333171717,4d4d0f3323171797
8860,19854,3,4d4d0f1333171717,4d4d0f132307171f
8860,29829,3,4d4d0f1333171717,4d4d0f1333251717
8860,30786,3,4d4d0f1333171717,0d4d0f3333170717
8901,9082,3,969696969696b636,9696969696969696
9033,15507,3,3806793e07074001,3806393e07034009
9033,21747,3,3806793e07074001,3806793e07032001
9033,26618,3,3806793e07074001,3806791e27074003
9082,10260,3,9696969696969696,969696969696b636
9230,9809,3,4d4d0f1333171717,4d4d0f1323331717
9230,13668,3,4d4d0f1333171717,4d4d0f3323171797
9230,19854,3,4d4d0f1333171717,4d4d0f132307171f
9230,29829,3,4d4d0f1333171717,4d4d0f1333251717
9230,30786,3,4d4d0f1333171717,0d4d0f3333170717
9337,20259,3,4d4d0f1b33230f17,4d4d0f1333231f16
9608,32767,3,4d4d0e333333370f,4d4d0f333333171f
9775,31587,3,0f4d163317070f17,0f4d163317171717
9809,26062,3,4d4d0f1323331717,4d4d0f3333371717
9809,32767,3,4d4d0f1323331717,4d4d0f333333171f
9933,15162,3,0d4d86372f171717,0d4d86330f171707
10065,30355,3,0d0d0e332323270e,4d4d0e332323070e
10765,39873,3,0014013c07032003,0014033407072003
10765,49829,3,0014013c07032003,0034013407036003
11082,14523,3,0d4d8f333317170f,0d4d0f3333171717
11082,17553,3,0d4d8f333317170f,0d4d0f3333171717
11596,34585,3,4d4d0e8e868e960f,4d4d8e8e8e8e960e
12003,12006,3,06060f3333171717,0f0e0f3333171717
12010,12015,3,4f4d0f1333171617,4d4d0f3333171717
12010,14287,3,4f4d0f1333171617,4d4d0f3333171717
12010,31624,3,4f4d0f1333171617,4d4d0f3333171717
12015,13749,3,4d4d0f3333171717,0f4d0f3313171717
12015,15912,3,4d4d0f3333171717,4d0d0e3233171717
12015,19719,3,4d4d0f3333171717,0d4c0f1333171717
12015,20026,3,4d4d0f3333171717,0d4d0e3333171716
12015,29700,3,4d4d0f3333171717,0d4d0f3333351717
12015,29772,3,4d4d0f3333171717,4d4d0f233317161f
12015,32767,3,4d4d0f3333171717,4d4d0f333333171f
12327,14518,3,0d0d0e3333171f17,0d0d0e3633171717
12327,14523,3,0d0d0e3333171f17,0d4d0f3333171717
12327,15912,3,0d0d0e3333171f17,4d0d0e3233171717
12327,17553,3,0d0d0e3333171f17,0d4d0f3333171717
12327,20026,3,0d0d0e3333171f17,0d4d0e3333171716
13427,14313,3,0f4d973317070707,0f4c971307070707
13499,32770,3,4d4d0e172b2f3317,4d4d0e172b2b2b17
13668,14523,3,4d4d0f3323171797,0d4d0f3333171717
13668,17553,3,4d4d0f3323171797,0d4d0f3333171717
13668,26062,3,4d4d0f3323171797,4d4d0f3333371717
13703,24253,3,0806390e07034001,1806390e07074009
13703,39986,3,0806390e07034001,1806390e07074005
13749,14287,3,0f4d0f3313171717,4d4d0f3333171717
13749,30786,3,0f4d0f3313171717,0d4d0f3333170717
13749,31624,3,0f4d0f3313171717,4d4d0f3333171717
13802,24698,3,4d4d0f1333332b0f,4d4d8e1733332b0f
13870,31039,3,4d4d0f3333232b17,0d4d0f3333232307
13870,34239,3,4d4d0f3333232b17,4d4d0f3333233f16
13870,35947,3,4d4d0f3333232b17,4d4d0f1333233317
14287,15912,3,4d4d0f3333171717,4d0d0e3233171717
14287,19719,3,4d4d0f3333171717,0d4c0f1333171717
14287,20026,3,4d4d0f3333171717,0d4d0e3333171716
14287,29700,3,4d4d0f3333171717,0d4d0f3333351717
14287,29772,3,4d4d0f3333171717,4d4d0f233317161f
14287,32767,3,4d4d0f3333171717,4d4d0f333333171f
14368,24073,3,200c213c13034009,200c213c1f036009
14368,26174,3,200c213c13034009,200c213c27034009
14523,39773,3,0d4d0f3333171717,0d4d0f3333271797
14533,15967,3,0f0d1632171f0f17,0f0d163617171f17
14662,31039,3,0d4d0f3333332397,0d4d0f3333232307
15057,15063,3,7004715c0f034019,3004515c0f034009
15165,15190,3,0f0d163b1f1f1706,0f0d163b0f171606
15507,22161,3,3806393e07034009,3806392e07036001
15507,39985,3,3806393e07034009,1806390e07034009
15507,43480,3,3806393e07034009,1804393c07034009
15912,31624,3,4d0d0e3233171717,4d4d0f3333171717
15973,24091,3,0f4d16333b171717,0d4d16332b170717
15973,31587,3,0f4d16333b171717,0f4d163317171717
15984,18305,3,0d4d0f333323371f,0f4d0f333333331f
15984,32767,3,0d4d0f333323371f,4d4d0f333333171f
15984,33945,3,0d4d0f333323371f,4d4d0f333323171e
16747,47428,3,0000030023232b00,000003002b2b2300
16881,38171,3,000110430b1f4009,004900430b1f4009
16881,41517,3,000110430b1f4009,000118430b1b0009
16941,38171,3,000910430b1b4009,004900430b1f4009
16941,41517,3,000910430b1b4009,000118430b1b0009
17013,20275,3,0012017617032001,001201361b032001
17553,39773,3,0d4d0f3333171717,0d4d0f3333271797
17774,36884,3,04410e1323060006,04410c33230e0006
17945,23039,3,3307979696969696,1707179696969696
18050,38364,3,000300332b232300,000300232b2b2b00
18851,19695,3,0d4d97331717171e,0f4d96331707171e
18851,23208,3,0d4d97331717171e,0d4d96333717170e
19039,22532,3,24002d2e07032003,24026d2e07032001
19153,23875,3,0f4c971317171716,0f4c973307171717
19540,21123,3,0d4d16332f0f0f0f,0d4d97132f0f0f0f
19719,30786,3,0d4c0f1333171717,0d4d0f3333170717
19719,31624,3,0d4c0f1333171717,4d4d0f3333171717
20009,24041,3,0d4d9e3317170f2e,0f4d963317170f0e
20009,26293,3,0d4d9e3317170f2e,0d4d963317170f0f
20026,30786,3,0d4d0e3333171716,0d4d0f3333170717
20026,31624,3,0d4d0e3333171716,4d4d0f3333171717
