file_sha256,pixel_sha256,ids,count
11c1d8022ae7989d1603b55afec215e79a28041c5ef5564f515ad0bf2405d6f1,405a74286b49ccce9519b6bca169722ae85c6897399fbbad701b262e9d11da52,"(36724, 39864, 39865)",3
11ebb1bf8f75c9a4595213ac381b02727fb9967552aa60f3c2573e5c53c189cf,026c65987e44e815a5af04f45b560ee57fd23456aa1a8a0d7207cac4fcb7b9aa,"(13325, 13326)",2
1223c264714099540128e38587214fc88ffc4c709a3e5fb10f76cca851b91637,0b65cb430a92d18f2682207a41d081631ab2518d1b0a6f313639067d196250ad,"(26042, 30207)",2
1306b25cb1ad6cdab9fb5f4d2dee2cc8f8796d8b098a981212f7d3f644a388fd,ef92f59256d33cb9dae36cbca4d1ea9c55fcc6f0cd508eccbde1c8578000d7e5,"(10188, 10189)",2
1351a41ef330327251f06a80c83eab7fe46a62871528f062a4df7706eee3212a,d78223e6e0bddc602551b4a659f57bd07d63ff0bdc37643c0897267179abe118,"(29642, 31644)",2
1469f29721659fff4624704c271b1bf88f7e4de11ada94113c6b9cddfd46be2f,2e4a7934608bb058a34abce2642ded37b3709ca5c3eaef52be571a30d8850e37,"(36762, 36771)",2
152a20bb06fd1e6bc7e1cbaacebe50de7d9acb31cfc8d384cc86fee513a09358,fc361911917d1223f44f9962e07c45f66dbd4039c6e87c034b90d5f9af41f2dc,"(36216, 39831)",2
15b209e1671ab2c26f78c742b06faefa709a916a5d9ac925406ec6c55324413f,8d170271975ad36fd413c38f82070325045a17a8989b0db0f1f780b0b30a1db7,"(17798, 17799)",2
1615e4e5419dc1132a82cd48870849a61935e84f244dda5e0bf37545a2323714,3dfc181137501b97f02abde5d89edb5d9c99ebc3ff1c46d11af8c5c252051c49,"(31166, 34147)",2
169134300cd3c2ce16a27f3e0a91f389fe40037d5a4e4b9ebe648c81bb141505,a54a2c9b4d9dee61596454beebbc1ac3da80dfeb0fd9c30088e0d35e2e82de6f,"(9463, 9464)",2
16b8281310d70652ae1ca2b856fb46ad618602e23d567bcb26d895d6ccc3b24c,6dfcf4c1a07f9cda481b3e7c53fde9577c9c139c90b7b4cdcd312b8ae1c82d8d,"(40160, 41961, 41962)",3
171465fa6440e2dec20daa8ca6d6a7db1f66a0d98dd3db8d4f3244c03f36ba56,4ccbb5f9e343a3ca5e3677ebbdb3db72f2c9ba5b608674d859fa2d0315780890,"(34710, 38922)",2
17a4af8d2eafea0d84e9b8192bb3b4da4cbb66c897b6894caf7d0192af718c6e,a26d07be0039f8bdb242b4ff696e341da364e5977e85798c76d1eec4bf8bb0ad,"(31175, 34166)",2
18795eaa45e6677bca0f095260511c705b932f5a4f06e89d260cd4b0af7091e9,4d066670203d5bbed82a5a242fe49120dbceaa2800a35924466a4bbcd18e6485,"(26122, 31141)",2
19582a67e6dcad2db4d68a909f052793c598d94f2fe37912e74c1811b0988a5f,d273d199cf8eeb6ef975b4e0ee240d09e6ad2b182a107fc0766059f3181e0364,"(36720, 39838, 39839)",3
19938059c69755b15ea0fd793b71ae2e03f6bc9982fb33aa8852ef444b5deb31,0b18f2e0d0e6b93b47814c331fa3efdaa7ee066a06bf9572d6393b5a16610c4c,"(4910, 4911)",2
