gender,articleType,n,correct,recall,fold
Women,Travel Accessory,3,3,1.0,0
Women,Trousers,66,66,1.0,0
Women,Tshirts,682,673,0.9868035190615836,0
Women,Tunics,119,119,1.0,0
Women,Umbrellas,4,4,1.0,0
Women,Waistcoat,2,2,1.0,0
Women,Wallets,273,265,0.9706959706959707,0
Women,Watches,553,536,0.969258589511754,0
Boys,Booties,3,2,0.6666666666666666,4
Boys,Capris,11,11,1.0,4
Boys,Casual Shoes,18,14,0.7777777777777778,4
Boys,Churidar,1,1,1.0,4
Boys,Clothing Set,3,3,1.0,4
Boys,Flip Flops,12,12,1.0,4
Boys,Gloves,4,3,0.75,4
Boys,Innerwear Vests,3,3,1.0,4
Boys,Jackets,2,2,1.0,4
Boys,Jeans,19,19,1.0,4
Boys,Kurta Sets,2,2,1.0,4
Boys,Kurtas,4,4,1.0,4
Boys,Leggings,3,2,0.6666666666666666,4
Boys,Rompers,6,6,1.0,4
Boys,Sandals,9,9,1.0,4
Boys,Shirts,53,53,1.0,4
Boys,Shorts,37,35,0.9459459459459459,4
Boys,Socks,1,0,0.0,4
Boys,Sports Shoes,2,0,0.0,4
Boys,Sweatshirts,1,1,1.0,4
Boys,Trousers,3,3,1.0,4
Boys,Tshirts,347,340,0.9798270893371758,4
Boys,Waistcoat,2,2,1.0,4
Girls,Backpacks,1,0,0.0,4
Girls,Booties,4,4,1.0,4
Girls,Capris,21,20,0.9523809523809523,4
Girls,Casual Shoes,10,9,0.9,4
Girls,Clothing Set,2,2,1.0,4
Girls,Dresses,45,44,0.9777777777777777,4
Girls,Earrings,1,0,0.0,4
Girls,Flip Flops,4,4,1.0,4
Girls,Gloves,6,6,1.0,4
Girls,Innerwear Vests,4,4,1.0,4
Girls,Jeans,9,9,1.0,4
Girls,Leggings,14,14,1.0,4
Girls,Lehenga Choli,1,1,1.0,4
Girls,Rompers,3,3,1.0,4
Girls,Salwar,4,4,1.0,4
Girls,Sandals,30,28,0.9333333333333333,4
Girls,Shirts,1,1,1.0,4
Girls,Shorts,26,24,0.9230769230769231,4
Girls,Skirts,16,14,0.875,4
Girls,Tops,154,148,0.961038961038961,4
Girls,Tshirts,71,70,0.9859154929577465,4
Girls,Watches,7,7,1.0,4
Men,Accessory Gift Set,73,73,1.0,4
Men,Backpacks,36,11,0.3055555555555556,4
Men,Bangle,1,1,1.0,4
Men,Belts,349,346,0.9914040114613181,4
Men,Blazers,4,4,1.0,4
Men,Body Wash and Scrub,1,0,0.0,4
Men,Boxers,27,27,1.0,4
Men,Bracelet,16,16,1.0,4
Men,Briefs,350,350,1.0,4
Men,Caps,73,63,0.863013698630137,4
Men,Casual Shoes,1432,1422,0.9930167597765364,4
Men,Churidar,6,6,1.0,4
Men,Cufflinks,31,31,1.0,4
Men,Deodorant,127,126,0.9921259842519685,4
Men,Duffel Bag,3,2,0.6666666666666666,4
Men,Flip Flops,318,311,0.9779874213836478,4
Men,Formal Shoes,415,414,0.9975903614457832,4
Men,Fragrance Gift Set,20,20,1.0,4
Men,Free Gifts,25,25,1.0,4
Men,Gloves,4,4,1.0,4
Men,Handbags,4,2,0.5,4
Men,Innerwear Vests,157,155,0.9872611464968153,4
Men,Jackets,124,124,1.0,4
Men,Jeans,208,208,1.0,4
Men,Kurtas,36,36,1.0,4
Men,Kurtis,2,2,1.0,4
Men,Laptop Bag,13,8,0.6153846153846154,4
Men,Lounge Pants,22,22,1.0,4
Men,Lounge Shorts,19,19,1.0,4
Men,Messenger Bag,8,7,0.875,4
Men,Mufflers,20,20,1.0,4
Men,Nehru Jackets,3,3,1.0,4
Men,Night suits,12,12,1.0,4
Men,Perfume and Body Mist,214,207,0.9672897196261683,4
Men,Ring,25,24,0.96,4
Men,Sandals,478,476,0.99581589958159,4
Men,Scarves,34,32,0.9411764705882353,4
Men,Shirts,1859,1857,0.9989241527703067,4
Men,Shoe Accessories,2,2,1.0,4
Men,Shorts,253,251,0.9920948616600791,4
Men,Socks,313,311,0.9936102236421726,4
Men,Sports Sandals,19,19,1.0,4
Men,Sports Shoes,1056,1048,0.9924242424242424,4
Men,Stoles,1,1,1.0,4
Men,Sunglasses,382,380,0.9947643979057592,4
Men,Suspenders,27,27,1.0,4
Men,Sweaters,129,129,1.0,4
Men,Sweatshirts,148,148,1.0,4
Men,Ties,144,143,0.9930555555555556,4
Men,Tights,1,1,1.0,4
Men,Track Pants,144,143,0.9930555555555556,4
Men,Tracksuits,19,19,1.0,4
Men,Trousers,285,285,1.0,4
Men,Trunk,96,96,1.0,4
Men,Tshirts,3455,3445,0.9971056439942113,4
