fold,label,article,n,families,errors,recall,false_positives,parent_recall,gray_recall,destinations
0,Girls,Innerwear Vests,2,2,1,0.5,0,1.0,0.0,"{""Boys"": 1}"
0,Girls,Jeans,1,1,0,1.0,4,1.0,1.0,{}
0,Girls,Leggings,1,1,1,0.0,0,0.0,0.0,"{""Women"": 1}"
0,Girls,Rompers,1,1,0,1.0,0,1.0,0.0,{}
0,Girls,Sandals,8,7,7,0.125,1,0.125,0.25,"{""Unisex"": 2, ""Women"": 5}"
0,Girls,Shorts,7,4,3,0.5714285714285714,6,0.8571428571428571,0.7142857142857143,"{""Women"": 3}"
0,Girls,Skirts,4,3,3,0.25,3,0.5,0.0,"{""Boys"": 1, ""Women"": 2}"
0,Girls,Tops,38,21,11,0.7105263157894737,10,0.7105263157894737,0.5526315789473685,"{""Boys"": 4, ""Men"": 2, ""Women"": 5}"
0,Girls,Tshirts,16,11,6,0.625,5,0.6875,0.3125,"{""Boys"": 5, ""Women"": 1}"
0,Boys,Booties,2,1,2,0.0,0,0.0,0.0,"{""Women"": 2}"
0,Boys,Capris,2,1,0,1.0,2,1.0,1.0,{}
0,Boys,Casual Shoes,7,6,7,0.0,1,0.0,0.14285714285714285,"{""Men"": 3, ""Unisex"": 3, ""Women"": 1}"
0,Boys,Flip Flops,3,3,2,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,"{""Unisex"": 2}"
0,Boys,Gloves,2,1,2,0.0,0,0.0,0.0,"{""Men"": 1, ""Women"": 1}"
0,Boys,Jackets,2,1,2,0.0,0,0.0,0.0,"{""Unisex"": 2}"
0,Boys,Jeans,4,2,4,0.0,5,0.0,0.0,"{""Girls"": 3, ""Men"": 1}"
0,Boys,Rompers,2,1,0,1.0,0,0.0,0.5,{}
0,Boys,Sandals,3,3,1,0.6666666666666666,1,0.6666666666666666,0.6666666666666666,"{""Unisex"": 1}"
0,Boys,Shirts,13,3,1,0.9230769230769231,5,1.0,0.9230769230769231,"{""Men"": 1}"
0,Boys,Shorts,7,4,6,0.14285714285714285,3,0.2857142857142857,0.14285714285714285,"{""Girls"": 2, ""Men"": 4}"
0,Boys,Sweatshirts,1,1,1,0.0,0,0.0,0.0,"{""Men"": 1}"
0,Boys,Trousers,2,1,2,0.0,0,0.0,0.0,"{""Girls"": 2}"
0,Boys,Tshirts,86,51,21,0.7558139534883721,14,0.7558139534883721,0.6976744186046512,"{""Girls"": 2, ""Men"": 11, ""Unisex"": 1, ""Women"": 7}"
0,Unisex,Backpacks,105,77,16,0.8476190476190476,11,0.8380952380952381,0.8571428571428571,"{""Men"": 6, ""Women"": 10}"
0,Unisex,Basketballs,3,3,0,1.0,0,0.6666666666666666,1.0,{}
0,Unisex,Belts,1,1,1,0.0,0,0.0,0.0,"{""Men"": 1}"
0,Unisex,Caps,22,21,5,0.7727272727272727,7,0.7272727272727273,0.6818181818181818,"{""Men"": 5}"
0,Unisex,Casual Shoes,39,34,23,0.41025641025641024,13,0.2564102564102564,0.38461538461538464,"{""Boys"": 1, ""Men"": 17, ""Women"": 5}"
0,Unisex,Deodorant,1,1,1,0.0,0,0.0,0.0,"{""Men"": 1}"
0,Unisex,Duffel Bag,10,8,3,0.7,1,0.7,0.8,"{""Women"": 3}"
0,Unisex,Flip Flops,24,23,15,0.375,2,0.3333333333333333,0.375,"{""Girls"": 2, ""Men"": 8, ""Women"": 5}"
0,Unisex,Footballs,2,2,2,0.0,0,0.0,0.0,"{""Men"": 1, ""Women"": 1}"
0,Unisex,Handbags,8,8,3,0.625,9,0.625,0.75,"{""Women"": 3}"
0,Unisex,Headband,2,2,2,0.0,0,0.0,0.0,"{""Men"": 2}"
0,Unisex,Jeans,3,1,3,0.0,0,0.0,0.0,"{""Boys"": 3}"
0,Unisex,Laptop Bag,10,8,2,0.8,1,0.8,0.8,"{""Men"": 1, ""Women"": 1}"
0,Unisex,Messenger Bag,6,6,4,0.3333333333333333,0,0.3333333333333333,0.5,"{""Men"": 1, ""Women"": 3}"
0,Unisex,Mobile Pouch,2,2,2,0.0,0,0.0,0.0,"{""Women"": 2}"
0,Unisex,Perfume and Body Mist,2,1,2,0.0,0,0.0,0.0,"{""Men"": 1, ""Women"": 1}"
0,Unisex,Rucksacks,2,2,0,1.0,0,1.0,0.5,{}
0,Unisex,Sandals,17,16,8,0.5294117647058824,3,0.5294117647058824,0.5294117647058824,"{""Boys"": 1, ""Men"": 7}"
0,Unisex,Scarves,1,1,1,0.0,0,0.0,0.0,"{""Men"": 1}"
0,Unisex,Shoe Accessories,4,3,4,0.0,0,0.0,0.0,"{""Men"": 3, ""Women"": 1}"
0,Unisex,Socks,11,9,9,0.18181818181818182,2,0.18181818181818182,0.09090909090909091,"{""Men"": 5, ""Women"": 4}"
0,Unisex,Sports Sandals,3,3,3,0.0,0,0.0,0.0,"{""Men"": 2, ""Women"": 1}"
0,Unisex,Sports Shoes,8,8,7,0.125,1,0.0,0.125,"{""Men"": 5, ""Women"": 2}"
0,Unisex,Sunglasses,24,7,22,0.08333333333333333,4,0.125,0.08333333333333333,"{""Men"": 21, ""Women"": 1}"
0,Unisex,Travel Accessory,3,2,3,0.0,0,0.0,0.3333333333333333,"{""Women"": 3}"
0,Unisex,Tshirts,12,11,4,0.6666666666666666,4,0.5833333333333334,0.6666666666666666,"{""Boys"": 2, ""Men"": 2}"
0,Unisex,Waist Pouch,3,2,1,0.6666666666666666,0,0.6666666666666666,0.6666666666666666,"{""Women"": 1}"
0,Unisex,Wallets,3,3,3,0.0,0,0.0,0.0,"{""Men"": 1, ""Women"": 2}"
0,Unisex,Watches,22,20,18,0.18181818181818182,3,0.18181818181818182,0.18181818181818182,"{""Men"": 12, ""Women"": 6}"
0,Unisex,Water Bottle,1,1,1,0.0,0,0.0,0.0,"{""Women"": 1}"
0,Unisex,Wristbands,1,1,1,0.0,0,0.0,1.0,"{""Women"": 1}"
4,Girls,Capris,8,3,0,1.0,1,0.375,1.0,{}
4,Girls,Casual Shoes,4,4,2,0.5,0,0.75,0.0,"{""Unisex"": 1, ""Women"": 1}"
4,Girls,Clothing Set,1,1,0,1.0,0,1.0,1.0,{}
4,Girls,Dresses,9,5,8,0.1111111111111111,2,0.1111111111111111,0.1111111111111111,"{""Unisex"": 3, ""Women"": 5}"
4,Girls,Flip Flops,2,1,2,0.0,1,0.0,0.5,"{""Boys"": 1, ""Unisex"": 1}"
4,Girls,Innerwear Vests,1,1,1,0.0,0,0.0,0.0,"{""Boys"": 1}"
4,Girls,Jeans,4,1,2,0.5,4,0.5,0.5,"{""Boys"": 2}"
4,Girls,Leggings,2,2,0,1.0,0,0.5,0.5,{}
4,Girls,Lehenga Choli,1,1,0,1.0,0,1.0,1.0,{}
4,Girls,Rompers,2,1,0,1.0,0,1.0,1.0,{}
4,Girls,Sandals,9,6,5,0.4444444444444444,2,0.3333333333333333,0.3333333333333333,"{""Unisex"": 3, ""Women"": 2}"
4,Girls,Shorts,6,4,3,0.5,4,0.3333333333333333,0.5,"{""Women"": 3}"
4,Girls,Skirts,4,2,1,0.75,1,0.0,0.0,"{""Unisex"": 1}"
4,Girls,Tops,38,18,12,0.6842105263157895,8,0.6578947368421053,0.7894736842105263,"{""Boys"": 4, ""Men"": 2, ""Women"": 6}"
4,Girls,Tshirts,17,13,7,0.5882352941176471,5,0.5294117647058824,0.7647058823529411,"{""Boys"": 4, ""Women"": 3}"
4,Girls,Watches,1,1,1,0.0,0,0.0,0.0,"{""Women"": 1}"
4,Boys,Blazers,1,1,1,0.0,0,0.0,0.0,"{""Men"": 1}"
4,Boys,Booties,2,1,2,0.0,0,0.0,0.0,"{""Men"": 1, ""Women"": 1}"
4,Boys,Casual Shoes,6,4,2,0.6666666666666666,0,0.6666666666666666,0.6666666666666666,"{""Unisex"": 2}"
4,Boys,Clothing Set,1,1,0,1.0,0,1.0,0.0,{}
4,Boys,Flip Flops,2,2,1,0.5,2,1.0,0.5,"{""Unisex"": 1}"
4,Boys,Gloves,2,1,1,0.5,0,0.5,0.5,"{""Girls"": 1}"
4,Boys,Jackets,2,1,2,0.0,0,0.0,0.0,"{""Women"": 2}"
4,Boys,Jeans,6,2,2,0.6666666666666666,2,0.5,0.6666666666666666,"{""Girls"": 2}"
4,Boys,Kurtas,1,1,0,1.0,0,1.0,1.0,{}
4,Boys,Sandals,2,1,1,0.5,3,0.5,0.5,"{""Men"": 1}"
4,Boys,Shirts,12,5,1,0.9166666666666666,7,0.9166666666666666,0.9166666666666666,"{""Men"": 1}"
4,Boys,Shorts,9,6,8,0.1111111111111111,2,0.2222222222222222,0.1111111111111111,"{""Girls"": 1, ""Men"": 7}"
4,Boys,Sweatshirts,1,1,1,0.0,1,0.0,0.0,"{""Women"": 1}"
4,Boys,Trousers,1,1,0,1.0,0,1.0,0.0,{}
4,Boys,Tshirts,85,49,15,0.8235294117647058,14,0.8,0.7647058823529411,"{""Girls"": 3, ""Men"": 7, ""Unisex"": 3, ""Women"": 2}"
4,Boys,Watches,5,5,5,0.0,0,0.0,0.0,"{""Men"": 3, ""Unisex"": 1, ""Women"": 1}"
4,Unisex,Backpacks,109,75,11,0.8990825688073395,17,0.8715596330275229,0.926605504587156,"{""Men"": 4, ""Women"": 7}"
4,Unisex,Basketballs,2,2,1,0.5,0,1.0,0.5,"{""Men"": 1}"
4,Unisex,Belts,2,2,2,0.0,1,0.0,0.0,"{""Men"": 2}"
4,Unisex,Caps,21,20,5,0.7619047619047619,17,0.8095238095238095,0.7619047619047619,"{""Men"": 4, ""Women"": 1}"
4,Unisex,Casual Shoes,36,34,26,0.2777777777777778,17,0.3333333333333333,0.2777777777777778,"{""Men"": 22, ""Women"": 4}"
4,Unisex,Cushion Covers,1,1,1,0.0,0,0.0,0.0,"{""Women"": 1}"
4,Unisex,Duffel Bag,11,9,2,0.8181818181818182,0,0.7272727272727273,0.8181818181818182,"{""Women"": 2}"
4,Unisex,Flip Flops,24,21,12,0.5,3,0.5416666666666666,0.5416666666666666,"{""Boys"": 1, ""Girls"": 1, ""Men"": 8, ""Women"": 2}"
