model_id,target,code,name,epoch,folds,train_macro_f1,validation_macro_f1,train_loss,validation_loss
g-e5,gender,E5,CompactBlur,10,5,0.70733186,0.5777113,0.31284014,0.49125564
g-e5,gender,E5,CompactBlur,11,5,0.71866973,0.59411996,0.30217413,0.40194461
g-e5,gender,E5,CompactBlur,12,5,0.72747222,0.63081018,0.29010596,0.4500417
g-e5,gender,E5,CompactBlur,13,5,0.74349755,0.6533033,0.27803737,0.36921303
g-e5,gender,E5,CompactBlur,14,5,0.75620259,0.65674742,0.26624669,0.40306803
g-e5,gender,E5,CompactBlur,15,5,0.76554689,0.64635074,0.25388715,0.37703818
g-e5,gender,E5,CompactBlur,16,5,0.77180421,0.62691639,0.24576497,0.39147741
g-e5,gender,E5,CompactBlur,17,5,0.78560234,0.65048129,0.2342955,0.36231527
g-e5,gender,E5,CompactBlur,18,5,0.79645391,0.66531617,0.22410247,0.37118456
g-e5,gender,E5,CompactBlur,19,5,0.80491405,0.67646584,0.21444238,0.35911034
g-e5,gender,E5,CompactBlur,20,5,0.81448302,0.68791919,0.20530548,0.34611396
g-e5,gender,E5,CompactBlur,21,5,0.82177115,0.65420047,0.19621784,0.36888403
g-e5,gender,E5,CompactBlur,22,5,0.83217214,0.70587175,0.18789219,0.33675699
g-e5,gender,E5,CompactBlur,23,5,0.83838843,0.69012571,0.18127326,0.34800034
g-e5,gender,E5,CompactBlur,24,5,0.84558532,0.69056396,0.17508604,0.33836884
g-e5,gender,E5,CompactBlur,25,5,0.8499841,0.70432091,0.16966883,0.33559502
g-e5,gender,E5,CompactBlur,26,5,0.85376307,0.7071449,0.16574715,0.33362795
g-e5,gender,E5,CompactBlur,27,5,0.85863228,0.70838468,0.16097739,0.33467035
g-e5,gender,E5,CompactBlur,28,5,0.8599759,0.70924604,0.15899921,0.33194022
g-e5,gender,E5,CompactBlur,29,5,0.86247144,0.70745816,0.15678885,0.33152421
g-e5,gender,E5,CompactBlur,30,5,0.86588044,0.70691515,0.15594883,0.33229861
g-e6,gender,E6,GeM pooling,1,5,0.47516696,0.52282018,0.55726624,0.51853991
g-e6,gender,E6,GeM pooling,2,5,0.63191463,0.62661948,0.40947621,0.43875478
g-e6,gender,E6,GeM pooling,3,5,0.69046701,0.61331094,0.35563541,0.39386856
g-e6,gender,E6,GeM pooling,4,5,0.73317109,0.67241317,0.31474655,0.3927626
g-e6,gender,E6,GeM pooling,5,5,0.77066201,0.65878032,0.27833036,0.41818645
g-e6,gender,E6,GeM pooling,6,5,0.7996242,0.68334221,0.24755516,0.39773129
g-e6,gender,E6,GeM pooling,7,5,0.82891833,0.61598515,0.21436621,0.49290859
g-e6,gender,E6,GeM pooling,8,5,0.86311848,0.65583172,0.18213557,0.41109687
g-e6,gender,E6,GeM pooling,9,5,0.88966589,0.69611454,0.15343922,0.36887123
g-e6,gender,E6,GeM pooling,10,5,0.91810423,0.69599791,0.12374916,0.42139141
g-e6,gender,E6,GeM pooling,11,5,0.93792478,0.70292162,0.09825496,0.42770931
g-e6,gender,E6,GeM pooling,12,5,0.96046057,0.7113478,0.07427424,0.37201452
g-e6,gender,E6,GeM pooling,13,5,0.97478959,0.69868788,0.05493648,0.49438377
g-e6,gender,E6,GeM pooling,14,5,0.9845606,0.70804214,0.04015895,0.40676277
g-e6,gender,E6,GeM pooling,15,5,0.9927342,0.7046827,0.02829387,0.41936051
g-e6,gender,E6,GeM pooling,16,5,0.99632505,0.70991532,0.02061146,0.4613772
g-e6,gender,E6,GeM pooling,17,5,0.9979168,0.71748491,0.0159522,0.42971502
g-e6,gender,E6,GeM pooling,18,5,0.99933405,0.70815859,0.01137091,0.46042676
g-e6,gender,E6,GeM pooling,19,5,0.99968324,0.71690505,0.00896281,0.43638623
g-e6,gender,E6,GeM pooling,20,5,0.99968362,0.7276928,0.00758499,0.43080981
g-e6,gender,E6,GeM pooling,21,5,0.9997958,0.73351759,0.00627412,0.41777538
g-e6,gender,E6,GeM pooling,22,5,0.99979587,0.73018324,0.00523087,0.42206146
g-e6,gender,E6,GeM pooling,23,5,0.99986843,0.73023504,0.00469275,0.44959971
g-e6,gender,E6,GeM pooling,24,5,0.99993077,0.73018053,0.00410083,0.43805433
g-e6,gender,E6,GeM pooling,25,5,0.99991522,0.73375764,0.00381069,0.42899942
g-e6,gender,E6,GeM pooling,26,5,0.9998755,0.73201301,0.00363411,0.42814907
g-e6,gender,E6,GeM pooling,27,5,0.99990663,0.7337614,0.00330511,0.42831857
g-e6,gender,E6,GeM pooling,28,5,0.99992216,0.7341238,0.00319448,0.43199582
g-e6,gender,E6,GeM pooling,29,5,0.99993776,0.73387089,0.00306442,0.4315481
g-e6,gender,E6,GeM pooling,30,5,0.99992215,0.73334583,0.00299718,0.43252065
g-e7,gender,E7,TinyHRNet,1,5,0.41771927,0.49724473,0.63367653,0.67883341
g-e7,gender,E7,TinyHRNet,2,5,0.6015996,0.53023568,0.44423278,0.49962469
g-e7,gender,E7,TinyHRNet,3,5,0.65326783,0.58226634,0.38945553,0.50540065
g-e7,gender,E7,TinyHRNet,4,5,0.6956017,0.54345158,0.34915179,0.58470933
g-e7,gender,E7,TinyHRNet,5,5,0.73358972,0.54020446,0.3105304,0.65906289
g-e7,gender,E7,TinyHRNet,6,5,0.77267686,0.58243644,0.27578022,0.54100187
g-e7,gender,E7,TinyHRNet,7,5,0.80906347,0.63190167,0.23701443,0.48350021
g-e7,gender,E7,TinyHRNet,8,5,0.84308475,0.62094894,0.19938813,0.54711801
g-e7,gender,E7,TinyHRNet,9,5,0.87960133,0.62364,0.15997977,0.52636657
g-e7,gender,E7,TinyHRNet,10,5,0.90558846,0.61572315,0.12473912,0.65880057
g-e7,gender,E7,TinyHRNet,11,5,0.93599018,0.63446577,0.09328536,0.60342898
g-e7,gender,E7,TinyHRNet,12,5,0.95712009,0.61515759,0.0653584,0.78603852
g-e7,gender,E7,TinyHRNet,13,5,0.97085877,0.64748119,0.04719412,0.69070854
g-e7,gender,E7,TinyHRNet,14,5,0.98400854,0.67373055,0.02953888,0.62381524
g-e7,gender,E7,TinyHRNet,15,5,0.99294423,0.67394937,0.01725179,0.73985531
g-e7,gender,E7,TinyHRNet,16,5,0.99694751,0.68482677,0.01108367,0.70717468
g-e7,gender,E7,TinyHRNet,17,5,0.99805704,0.69135868,0.00750724,0.67211661
g-e7,gender,E7,TinyHRNet,18,5,0.99917551,0.69694952,0.00386961,0.67156289
g-e7,gender,E7,TinyHRNet,19,5,0.99964987,0.70112117,0.00259197,0.66427383
g-e7,gender,E7,TinyHRNet,20,5,0.99981836,0.68979872,0.00163456,0.69100414
g-e7,gender,E7,TinyHRNet,21,5,0.99982531,0.69615919,0.00121657,0.69226646
g-e7,gender,E7,TinyHRNet,22,5,0.99985988,0.6982603,0.0009018,0.68935238
g-e7,gender,E7,TinyHRNet,23,5,0.99988339,0.6990213,0.00084426,0.69368416
g-e7,gender,E7,TinyHRNet,24,5,0.99992153,0.70321051,0.00071115,0.69518164
g-e7,gender,E7,TinyHRNet,25,5,0.99990595,0.7016916,0.00066726,0.69771099
g-e7,gender,E7,TinyHRNet,26,5,0.99989107,0.70022874,0.00062775,0.70079399
g-e7,gender,E7,TinyHRNet,27,5,0.99992218,0.70055347,0.00053134,0.70176911
g-e7,gender,E7,TinyHRNet,28,5,0.99990659,0.70074111,0.00051668,0.70274012
g-e7,gender,E7,TinyHRNet,29,5,0.99996889,0.70190247,0.00050264,0.70183005
g-e7,gender,E7,TinyHRNet,30,5,0.99995332,0.70179341,0.00049465,0.70264616
g-e8,gender,E8,Early stopping,1,5,0.47516696,0.52282018,0.55726624,0.51853991
g-e8,gender,E8,Early stopping,2,5,0.63191463,0.62661948,0.40947621,0.43875478
g-e8,gender,E8,Early stopping,3,5,0.69046701,0.61331094,0.35563541,0.39386856
g-e8,gender,E8,Early stopping,4,5,0.73317109,0.67241317,0.31474655,0.3927626
g-e8,gender,E8,Early stopping,5,5,0.77066201,0.65878032,0.27833036,0.41818645
g-e8,gender,E8,Early stopping,6,5,0.7996242,0.68334221,0.24755516,0.39773129
g-e8,gender,E8,Early stopping,7,5,0.82891833,0.61598515,0.21436621,0.49290859
g-e8,gender,E8,Early stopping,8,5,0.86311848,0.65583172,0.18213557,0.41109687
g-e8,gender,E8,Early stopping,9,5,0.88966589,0.69611454,0.15343922,0.36887123
g-e8,gender,E8,Early stopping,10,5,0.91810423,0.69599791,0.12374916,0.42139141
g-e8,gender,E8,Early stopping,11,5,0.93792478,0.70292162,0.09825496,0.42770931
g-e8,gender,E8,Early stopping,12,5,0.96046057,0.7113478,0.07427424,0.37201452
g-e8,gender,E8,Early stopping,13,5,0.97478959,0.69868788,0.05493648,0.49438377
g-e8,gender,E8,Early stopping,14,5,0.9845606,0.70804214,0.04015895,0.40676277
g-e8,gender,E8,Early stopping,15,5,0.9927342,0.7046827,0.02829387,0.41936051
g-e8,gender,E8,Early stopping,16,5,0.99632505,0.70991532,0.02061146,0.4613772
g-e8,gender,E8,Early stopping,17,5,0.9979168,0.71748491,0.0159522,0.42971502
g-e8,gender,E8,Early stopping,18,5,0.99933405,0.70815859,0.01137091,0.46042676
g-e8,gender,E8,Early stopping,19,5,0.99968324,0.71690505,0.00896281,0.43638623
g-e8,gender,E8,Early stopping,20,5,0.99968362,0.7276928,0.00758499,0.43080981
g-e8,gender,E8,Early stopping,21,5,0.9997958,0.73351759,0.00627412,0.41777538
g-e8,gender,E8,Early stopping,22,5,0.99979587,0.73018324,0.00523087,0.42206146
g-e8,gender,E8,Early stopping,23,5,0.99986843,0.73023504,0.00469275,0.44959971
g-e8,gender,E8,Early stopping,24,5,0.99993077,0.73018053,0.00410083,0.43805433
g-e8,gender,E8,Early stopping,25,5,0.99991522,0.73375764,0.00381069,0.42899942
g-e8,gender,E8,Early stopping,26,5,0.9998755,0.73201301,0.00363411,0.42814907
g-e8,gender,E8,Early stopping,27,5,0.99990663,0.7337614,0.00330511,0.42831857
g-e8,gender,E8,Early stopping,28,4,0.99992215,0.73591284,0.00321927,0.43184105
g-e8,gender,E8,Early stopping,29,4,0.99994165,0.73585335,0.00309707,0.42973339
g-e8,gender,E8,Early stopping,30,4,0.9999416,0.73511101,0.00302309,0.43069985
g-e9,gender,E9,Semantic filter,1,5,0.49801617,0.58187131,0.547008,0.49503943
g-e9,gender,E9,Semantic filter,2,5,0.67082684,0.59077188,0.39244083,0.46491066
g-e9,gender,E9,Semantic filter,3,5,0.72801768,0.58509394,0.3401809,0.54996716
g-e9,gender,E9,Semantic filter,4,5,0.7649922,0.65722971,0.3005753,0.42929154
g-e9,gender,E9,Semantic filter,5,5,0.79662249,0.68594651,0.26361454,0.4549472
g-e9,gender,E9,Semantic filter,6,5,0.82438143,0.69696314,0.23694764,0.35805667
g-e9,gender,E9,Semantic filter,7,5,0.85107074,0.68094875,0.20555859,0.47377722
g-e9,gender,E9,Semantic filter,8,5,0.87387947,0.67045611,0.17676805,0.49091331
g-e9,gender,E9,Semantic filter,9,5,0.90042176,0.69929801,0.14870828,0.39424563
g-e9,gender,E9,Semantic filter,10,5,0.92424424,0.69158417,0.12006048,0.46937832
g-e9,gender,E9,Semantic filter,11,5,0.94382047,0.67955773,0.0962231,0.56995628
g-e9,gender,E9,Semantic filter,12,5,0.96102935,0.6858871,0.07440287,0.4548078
g-e9,gender,E9,Semantic filter,13,5,0.97436423,0.69473589,0.05610195,0.53978932
g-e9,gender,E9,Semantic filter,14,5,0.98554716,0.72283568,0.04069283,0.41804072
g-e9,gender,E9,Semantic filter,15,5,0.99166112,0.72338711,0.02955542,0.39391395
g-e9,gender,E9,Semantic filter,16,5,0.99519621,0.73449029,0.02121844,0.39848308
g-e9,gender,E9,Semantic filter,17,5,0.99821138,0.73911322,0.01511757,0.43463381
g-e9,gender,E9,Semantic filter,18,5,0.99916497,0.73523228,0.01156692,0.4377629
g-e9,gender,E9,Semantic filter,19,5,0.99923225,0.72985368,0.0106776,0.43850415
g-e9,gender,E9,Semantic filter,20,5,0.99951457,0.73489523,0.00803532,0.44241501
g-e9,gender,E9,Semantic filter,21,5,0.99988337,0.73854789,0.00641531,0.42592781
g-e9,gender,E9,Semantic filter,22,5,0.99981822,0.74349912,0.00567237,0.44317191
g-e9,gender,E9,Semantic filter,23,5,0.99981032,0.74081906,0.00527804,0.42975756
g-e9,gender,E9,Semantic filter,24,5,0.9998804,0.74265452,0.0043947,0.45860594
g-e9,gender,E9,Semantic filter,25,5,0.99983745,0.74130959,0.00469524,0.43921844
g-e9,gender,E9,Semantic filter,26,5,0.99990657,0.74250551,0.00378919,0.43804605
g-e9,gender,E9,Semantic filter,27,5,0.99986482,0.74237787,0.00357675,0.43678191
g-e9,gender,E9,Semantic filter,28,5,0.99993418,0.74654653,0.00336552,0.43762251
g-e9,gender,E9,Semantic filter,29,5,0.99993066,0.74388003,0.00324789,0.44013391
g-e9,gender,E9,Semantic filter,30,5,0.99993416,0.7451045,0.00317253,0.43966787
g-e10,gender,E10,Audience helper,1,5,0.42229174,0.49131686,0.64030139,0.62999064
g-e10,gender,E10,Audience helper,2,5,0.5916755,0.59508883,0.47064446,0.50234586
g-e10,gender,E10,Audience helper,3,5,0.6576514,0.61423543,0.41088055,0.4450194
g-e10,gender,E10,Audience helper,4,5,0.7004263,0.59452311,0.36627732,0.54515952
g-e10,gender,E10,Audience helper,5,5,0.74038227,0.63807382,0.32570194,0.48843691
g-e10,gender,E10,Audience helper,6,5,0.76993477,0.65294688,0.29121993,0.47645627
g-e10,gender,E10,Audience helper,7,5,0.80018746,0.64967141,0.25410195,0.44091273
g-e10,gender,E10,Audience helper,8,5,0.83271699,0.62784551,0.21808663,0.53286798
g-e10,gender,E10,Audience helper,9,5,0.85917841,0.69501122,0.18613178,0.42149535
g-e10,gender,E10,Audience helper,10,5,0.88680364,0.68988872,0.15332331,0.47627586
g-e10,gender,E10,Audience helper,11,5,0.91053894,0.68408612,0.12294905,0.48041252
g-e10,gender,E10,Audience helper,12,5,0.93356717,0.68900893,0.09423981,0.45739318
g-e10,gender,E10,Audience helper,13,5,0.9519936,0.71557497,0.07198707,0.46710122
g-e10,gender,E10,Audience helper,14,5,0.96600442,0.70297871,0.05311567,0.43324075
g-e10,gender,E10,Audience helper,15,5,0.97817667,0.7036463,0.03921189,0.47328781
g-e10,gender,E10,Audience helper,16,5,0.98549371,0.70093947,0.02848585,0.53593551
g-e10,gender,E10,Audience helper,17,5,0.99099782,0.71813263,0.02183015,0.49219516
g-e10,gender,E10,Audience helper,18,5,0.99513752,0.68381115,0.01597867,0.60430222
g-e10,gender,E10,Audience helper,19,5,0.99685509,0.7283194,0.01305766,0.48328037
g-e10,gender,E10,Audience helper,20,5,0.99803089,0.72679647,0.01072986,0.48126688
g-e10,gender,E10,Audience helper,21,5,0.99861442,0.7241141,0.00882298,0.49028665
g-e10,gender,E10,Audience helper,22,5,0.99928511,0.73036324,0.00739451,0.48751724
g-e10,gender,E10,Audience helper,23,5,0.9991657,0.7305125,0.00659966,0.49389955
g-e10,gender,E10,Audience helper,24,5,0.9998102,0.73158076,0.00572683,0.49878349
g-e10,gender,E10,Audience helper,25,5,0.99979089,0.72446746,0.00532638,0.49813304
g-e10,gender,E10,Audience helper,26,5,0.99965168,0.73053334,0.00504582,0.49596718
g-e10,gender,E10,Audience helper,27,5,0.99988757,0.73046578,0.00461719,0.49384039
