class_index,class_name,precision,recall,f1,support
67,Mufflers,0.5757575757575758,0.5757575757575758,0.5757575757575758,33
68,Nail Polish,0.9411764705882353,1.0,0.9696969696969697,16
69,Necklace and Chains,0.6451612903225806,0.7547169811320755,0.6956521739130435,53
70,Nehru Jackets,0.16666666666666666,0.25,0.2,4
71,Night suits,0.5915492957746479,0.711864406779661,0.6461538461538462,59
72,Nightdress,0.23076923076923078,0.4411764705882353,0.30303030303030304,34
73,Patiala,0.6086956521739131,0.6086956521739131,0.6086956521739131,23
74,Pendant,0.6637168141592921,0.7142857142857143,0.6880733944954128,105
75,Perfume and Body Mist,0.7860262008733624,0.759493670886076,0.7725321888412017,474
76,Rain Jacket,0.0,0.0,0.0,1
77,Rain Trousers,0.0,0.0,0.0,1
78,Ring,0.6610169491525424,0.4936708860759494,0.5652173913043478,79
79,Robe,0.0,0.0,0.0,2
80,Rompers,0.8333333333333334,0.9090909090909091,0.8695652173913043,11
81,Rucksacks,0.2222222222222222,0.2,0.21052631578947367,10
82,Salwar,0.6206896551724138,0.6428571428571429,0.631578947368421,28
83,Salwar and Dupatta,0.25,0.16666666666666666,0.2,6
84,Sandals,0.7109905020352781,0.7129251700680272,0.7119565217391305,735
85,Sarees,0.7875,0.9767441860465116,0.8719723183391004,129
86,Scarves,0.46715328467153283,0.6881720430107527,0.5565217391304348,93
87,Shapewear,0.0,0.0,0.0,2
88,Shirts,0.8800157356412274,0.8541428025964108,0.8668862623522573,2619
89,Shoe Accessories,0.6153846153846154,0.4,0.48484848484848486,20
90,Shoe Laces,0.0,0.0,0.0,1
91,Shorts,0.7097505668934241,0.7002237136465325,0.704954954954955,447
92,Shrug,0.0,0.0,0.0,2
93,Skirts,0.3466666666666667,0.5252525252525253,0.41767068273092367,99
94,Socks,0.9297912713472486,0.9404990403071017,0.9351145038167938,521
95,Sports Sandals,0.21348314606741572,0.35185185185185186,0.26573426573426573,54
96,Sports Shoes,0.7794784580498866,0.8131283264340626,0.7959479015918958,1691
97,Stockings,0.8235294117647058,0.6363636363636364,0.717948717948718,22
98,Stoles,0.3880597014925373,0.6753246753246753,0.4928909952606635,77
99,Sunglasses,0.9865921787709497,0.9966139954853274,0.991577765300393,886
100,Suspenders,0.9696969696969697,0.9411764705882353,0.9552238805970149,34
101,Sweaters,0.39002932551319647,0.5683760683760684,0.46260869565217394,234
102,Sweatshirts,0.4259927797833935,0.4978902953586498,0.4591439688715953,237
103,Swimwear,0.07692307692307693,0.13333333333333333,0.0975609756097561,15
104,Tablet Sleeve,0.0,0.0,0.0,2
105,Ties,0.9888268156424581,0.9888268156424581,0.9888268156424581,179
106,Ties and Cufflinks,0.0,0.0,0.0,1
107,Tights,0.16666666666666666,0.125,0.14285714285714285,8
108,Tops,0.5359778597785978,0.4243973703433163,0.4737056665307786,1369
109,Track Pants,0.7019607843137254,0.7188755020080321,0.7103174603174603,249
110,Tracksuits,0.7241379310344828,0.875,0.7924528301886793,24
111,Travel Accessory,0.5,0.16666666666666666,0.25,12
112,Trolley Bag,0.0,0.0,0.0,3
113,Trousers,0.7487684729064039,0.6988505747126437,0.72294887039239,435
114,Trunk,0.8076923076923077,0.8823529411764706,0.8433734939759037,119
115,Tshirts,0.920411041708644,0.7947112038970077,0.8529549061712258,5748
116,Tunics,0.15,0.2635135135135135,0.19117647058823528,148
117,Umbrellas,1.0,1.0,1.0,5
118,Waist Pouch,0.29411764705882354,0.3333333333333333,0.3125,15
119,Waistcoat,0.09523809523809523,0.16666666666666666,0.12121212121212122,12
120,Wallets,0.9145299145299145,0.9119318181818182,0.9132290184921764,704
121,Watches,0.9675592173017508,0.9832548403976975,0.9753438878795744,1911
122,Water Bottle,0.8,0.8,0.8,10
123,Wristbands,0.8,0.8,0.8,5
