candidate,experiment_id,seed,slice_family,slice_name,support,low_support,labels_present,accuracy,balanced_accuracy,macro_f1,mean_confidence,mean_true_probability,nll,brier,ece,recall_Fall,recall_Spring,recall_Summer,recall_Winter
C2,g5-c2-t0-resnet18-s2026,2026,image_mode,rgb,32459,False,4,0.7424443143658154,0.6999235773574815,0.7337010025281866,0.7788206550966567,0.6684630253304732,0.6664059758498097,0.36128087570401146,0.03837769860948986,0.6566996402877698,0.6273620559334845,0.8156650491476919,0.6999675640609796
C2,g5-c2-t0-resnet18-s2026,2026,product_family_size,multirow,13730,False,4,0.755061908230153,0.6865990964614263,0.7220071481854226,0.7846082209043058,0.6783602680050009,0.6359171458934987,0.3472410222213052,0.0364154949652831,0.7057284094213434,0.5,0.8,0.7406679764243614
C2,g5-c2-t0-resnet18-s2026,2026,product_family_size,singleton,19023,False,4,0.7330074120801136,0.6971919987041434,0.730294268908743,0.7733326788073439,0.6602570432479571,0.6894988359796873,0.3719584471299784,0.041507974311647725,0.623610858079796,0.6750261233019854,0.8268943436499466,0.6632366697848456
C2,g3-c2-t0-resnet18,2753,acquisition_year,dominant_2011_2012,22896,False,4,0.7581236897274634,0.561410213046966,0.5489278452978782,0.7969417324280568,0.6884679853653196,0.611234534044672,0.34165528980797466,0.04349055892876236,0.63458974669737,0.1910828025477707,0.8516560182125285,0.5683122847301951
C2,g3-c2-t0-resnet18,2753,acquisition_year,missing_year,0,True,0,,,,,,,,,,,,
C2,g3-c2-t0-resnet18,2753,acquisition_year,other_years,9857,False,4,0.7237496195597037,0.6629318200803572,0.6666643849071443,0.8184167326125555,0.6791520762272559,0.79233389387601,0.3896259937361463,0.09497234969892643,0.41802067946824223,0.689419795221843,0.8227654698242933,0.7215213358070501
C2,g3-c2-t0-resnet18,2753,article_type_shortcut,aligned,21115,False,4,0.8774804641250296,0.8985833645854358,0.8601264835564354,0.8383849916160601,0.7933913312530442,0.3295480629324706,0.1841242262505482,0.03909547262301509,0.8414847161572052,0.9509569377990431,0.8635318704284222,0.9383599339570721
C2,g3-c2-t0-resnet18,2753,article_type_shortcut,conflict,11619,False,4,0.512866856011705,0.4292718273113636,0.40538143231475354,0.7399584696418868,0.49054789395247017,1.2734399655153037,0.6674650008949805,0.22872207265384448,0.541208377278891,0.08298755186721991,0.7219850586979722,0.3709063214013709
C2,g3-c2-t0-resnet18,2753,article_type_shortcut,missing_article_type,0,True,0,,,,,,,,,,,,
C2,g3-c2-t0-resnet18,2753,article_type_shortcut,unseen_article_type,19,True,4,0.2631578947368421,0.1515151515151515,0.1625,0.7281622259240401,0.2858457397179384,2.6502513305900246,1.053897527446206,0.4650043311997722,0.0,0.2727272727272727,0.3333333333333333,0.0
