model,run_id,validation_fold,corruption,loss,macro_f1,macro_f1_change,nll,ece_15
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f2_s2753_55b7a96c2617_20260830T153955Z36ee4d,2,grayscale,1.143355985163205,0.4094667104150566,-0.0158347721273794,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f3_s2753_55b7a96c2617_20260830T154844Z0738d5,3,jpeg_75,1.087971598238159,0.4073809902104924,0.0070310970662357,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f3_s2753_55b7a96c2617_20260830T154844Z0738d5,3,brightness_085,1.232991436267758,0.3056063644672045,-0.0947435286770521,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f3_s2753_55b7a96c2617_20260830T154844Z0738d5,3,brightness_115,1.3113823218941758,0.3458512538732609,-0.0544986392709958,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f3_s2753_55b7a96c2617_20260830T154844Z0738d5,3,translation_003,1.3251895837744496,0.3606491449031421,-0.0397007482411145,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f3_s2753_55b7a96c2617_20260830T154844Z0738d5,3,grayscale,1.1636477460111123,0.3603602838552199,-0.0399896092890367,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f4_s2753_55b7a96c2617_20260830T155731Z30497c,4,jpeg_75,1.0499471367040176,0.4056620989699047,0.008700184965672,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f4_s2753_55b7a96c2617_20260830T155731Z30497c,4,brightness_085,1.3830983727081338,0.2472994930289556,-0.1496624209752769,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f4_s2753_55b7a96c2617_20260830T155731Z30497c,4,brightness_115,1.2657668938197637,0.3592071467854496,-0.037754767218783,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f4_s2753_55b7a96c2617_20260830T155731Z30497c,4,translation_003,1.44752472647042,0.3090946068853084,-0.0878673071189242,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f4_s2753_55b7a96c2617_20260830T155731Z30497c,4,grayscale,1.1778077240224225,0.3981795862519204,0.0012176722476878,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f0_s2753_f87812b0c178_20260831T033129Z7d4ec1,0,jpeg_75,1.6722947764307847,0.3910587713193287,-0.0108572486536067,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f0_s2753_f87812b0c178_20260831T033129Z7d4ec1,0,brightness_085,1.8750924883031617,0.307546697574604,-0.0943693223983314,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f0_s2753_f87812b0c178_20260831T033129Z7d4ec1,0,brightness_115,1.8764628695361585,0.3882693034557589,-0.0136467165171765,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f0_s2753_f87812b0c178_20260831T033129Z7d4ec1,0,translation_003,2.4124737649561263,0.2476238834264134,-0.154292136546522,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f0_s2753_f87812b0c178_20260831T033129Z7d4ec1,0,grayscale,1.849456715483813,0.4164460234153468,0.0145300034424113,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f1_s2753_f87812b0c178_20260831T034010Z7f733c,1,jpeg_75,1.648582738086349,0.3825896691273297,0.0119247580877863,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f1_s2753_f87812b0c178_20260831T034010Z7f733c,1,brightness_085,1.919758917533131,0.280169407081041,-0.0904955039585023,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f1_s2753_f87812b0c178_20260831T034010Z7f733c,1,brightness_115,1.872817412860588,0.3436044472777853,-0.027060463761758,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f1_s2753_f87812b0c178_20260831T034010Z7f733c,1,translation_003,2.221808745635379,0.2536381223005326,-0.1170267887390107,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f1_s2753_f87812b0c178_20260831T034010Z7f733c,1,grayscale,1.7691003994724754,0.360348021604145,-0.0103168894353983,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f2_s2753_f87812b0c178_20260831T034851Z173f05,2,jpeg_75,1.4753222605144924,0.4387705994050272,-0.00379415718598,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f2_s2753_f87812b0c178_20260831T034851Z173f05,2,brightness_085,2.016099274386504,0.3024943198344902,-0.140070436756517,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f2_s2753_f87812b0c178_20260831T034851Z173f05,2,brightness_115,1.6855182545970029,0.424821974216799,-0.0177427823742082,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f2_s2753_f87812b0c178_20260831T034851Z173f05,2,translation_003,2.273802508908344,0.246071246236408,-0.1964935103545993,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f2_s2753_f87812b0c178_20260831T034851Z173f05,2,grayscale,1.47187144763296,0.4471943631525769,0.0046296065615695,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f3_s2753_f87812b0c178_20260831T035732Zc5da9c,3,jpeg_75,1.7399208663004833,0.3453266525065659,-0.0021196832217121,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f3_s2753_f87812b0c178_20260831T035732Zc5da9c,3,brightness_085,2.28827854251431,0.2407974164397124,-0.1066489192885656,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f3_s2753_f87812b0c178_20260831T035732Zc5da9c,3,brightness_115,1.910620318576011,0.3258480248194152,-0.0215983109088628,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f3_s2753_f87812b0c178_20260831T035732Zc5da9c,3,translation_003,2.2605612298383986,0.2558702612739528,-0.0915760744543253,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f3_s2753_f87812b0c178_20260831T035732Zc5da9c,3,grayscale,1.8411938641820849,0.3488321844658096,0.0013858487375315,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f4_s2753_f87812b0c178_20260831T040612Z397d10,4,jpeg_75,1.5121065213421343,0.3663458267884494,4.436350127934308e-05,,
E4,t3_usage_e4_tinyresnet18_pm_usage_tinyresnet18pm_f4_s2753_f87812b0c178_20260831T040612Z397d10,4,brightness_085,2.0719463750779066,0.2656482877569502,-0.1006531755302198,,
