candidate,calibration_method,requested_coverage,coverage,review_rate,retained_count,review_count,confidence_threshold,accepted_correct_count,selective_accuracy,selective_risk,selective_macro_f1,accepted_id_sha256
C2,cross_fitted_temperature,0.17,0.1700302262388178,0.8299697737611822,5569,27184,0.9524605322904267,5359,0.9622912551625067,0.03770874483749331,0.9624766419056612,a13343d19c915fc416da78f7dea75b6008472da0063d8e0d20d48a6601e2fd66
C2,cross_fitted_temperature,0.18,0.18001404451500627,0.8199859554849938,5896,26857,0.9489942346721907,5671,0.9618385345997287,0.03816146540027132,0.96205672649716,0b33712d3d7cc7abf49a1b638595e558ff665f4d48435e9e07fadf48c967d920
C2,cross_fitted_temperature,0.19,0.19002839434555613,0.8099716056544439,6224,26529,0.9451459886273677,5982,0.9611182519280206,0.038881748071979416,0.9612390993032836,99004a4bd0941211c10760b381b6d637574c3862b763efcdc15b8fdf91765ed9
C2,cross_fitted_temperature,0.2,0.20001221262174457,0.7999877873782555,6551,26202,0.9416299993136054,6289,0.9600061059380247,0.03999389406197529,0.9600251596744773,3dc7eb22672c17c9c5725f190de242ca7444ecb42261db40461b2885eac7fa3b
C2,cross_fitted_temperature,0.21,0.21002656245229445,0.7899734375477055,6879,25874,0.9377477746335242,6598,0.9591510393952609,0.04084896060473908,0.9592708843824185,374a34550ce1a7f156d5ff5ff23119817645b03d096a8cf707bbca548404847a
C2,cross_fitted_temperature,0.22,0.2200103807284829,0.7799896192715171,7206,25547,0.9338316471695625,6910,0.9589231196225367,0.041076880377463265,0.9589713806903728,71b7c26f1ec21fdfeb462bc53db41dd6e385648570c512ff794d964c8eaf01a5
C2,cross_fitted_temperature,0.23,0.23002473055903275,0.7699752694409673,7534,25219,0.9297305688087849,7207,0.9565967613485532,0.043403238651446796,0.9565568400093166,b215a5465a4766287e7e7e761b336f6e5b7a590b9fb7fee41a1af0fe5cd778c1
C2,cross_fitted_temperature,0.24,0.2400085488352212,0.7599914511647787,7861,24892,0.925492511883494,7508,0.95509477165755,0.04490522834245003,0.955102589052763,87217ddc6334b76928dcffe4c193601bd1239fd7e2b2c64e62194cd6a828259e
C2,cross_fitted_temperature,0.25,0.2500228986657711,0.7499771013342289,8189,24564,0.9210111548276754,7807,0.9533520576382952,0.046647942361704775,0.9532853313320606,6182b2be835bb32d18880d5c38acc99a21fc72e762c313289c5916370308b23e
C2,cross_fitted_temperature,0.26,0.26000671694195954,0.7399932830580405,8516,24237,0.9159564651886428,8094,0.9504462188821042,0.04955378111789577,0.9507883844543951,f088876e16dc7c811b115f0a9ba202658b88b03b7afa6278101af43db4a1e04f
C2,cross_fitted_temperature,0.27,0.27002106677250937,0.7299789332274906,8844,23909,0.9110743758187767,8392,0.9488919041157847,0.05110809588421528,0.9494496174798319,0f50481886a133d03056c914861e262c4bd37f8795a035b819abbc995b71a68f
C2,cross_fitted_temperature,0.28,0.2800048850486978,0.7199951149513022,9171,23582,0.9068132637809141,8687,0.9472249482063024,0.05277505179369757,0.9479196924100803,1a6db508521ce8f119482bd66034ca19d2c27465240facaef6c0b3945cee44d9
C2,cross_fitted_temperature,0.29,0.2900192348792477,0.7099807651207524,9499,23254,0.9018390713911747,8986,0.9459943151910728,0.0540056848089272,0.9464747519005476,8b20d7da9f4fe285ae2e1dc6e250d4fb5e2d224bc98ec6e8a723606115b29497
C2,cross_fitted_temperature,0.3,0.30000305315543613,0.6999969468445639,9826,22927,0.8967572312979528,9277,0.9441278241400366,0.0558721758599634,0.9446734798675867,26a7029d174e7181d78eb8bbad2e6a6b6fd483065d2fd6a229642c3fa2268852
C2,cross_fitted_temperature,0.31,0.310017402985986,0.689982597014014,10154,22599,0.8914051492209931,9578,0.9432735867638369,0.05672641323616312,0.9440189040688577,cccdfbcd6c20b567c2fbe5a4b978924c610c1cf6825afe9758a5ff07b779f827
C2,cross_fitted_temperature,0.32,0.32000122126217445,0.6799987787378255,10481,22272,0.8856676220477446,9869,0.9416086251311898,0.058391374868810186,0.9425175879623775,389b8591880973c851923db91445c1f82478aebbbba094ae00a1f37440175c6a
C2,cross_fitted_temperature,0.33,0.33001557109272434,0.6699844289072756,10809,21944,0.8803838430861869,10170,0.9408825978351374,0.05911740216486261,0.9419269744896525,e77f9b9f71c9e9efe3837f2d5d39b020e431cd3f67af4b83d124d816de526001
C2,cross_fitted_temperature,0.34,0.3400299209232742,0.6599700790767258,11137,21616,0.8743894099363217,10456,0.9388524737361946,0.061147526263805374,0.939671837404427,36eaeb896509a0e2694bc02e96895cb8ca541cefb0ae01866aa69d7e255f05a3
C2,cross_fitted_temperature,0.35,0.35001373919946266,0.6499862608005373,11464,21289,0.8686363927467734,10743,0.9371074668527565,0.06289253314724352,0.9380648487983335,253ff252ad5eb90c50aeabe7c7ad29e93f20d26a59e1bd6ac347068348e4c0cb
C2,cross_fitted_temperature,0.36,0.36002808903001254,0.6399719109699875,11792,20961,0.8625771289599853,11014,0.9340230664857531,0.06597693351424694,0.9351067241103838,7874575e4ae06a0f523557fc470c08da8ebfdcab00746e7416c19734cc89ef40
C2,cross_fitted_temperature,0.37,0.370011907306201,0.6299880926937991,12119,20634,0.8559646806749329,11306,0.9329152570344088,0.0670847429655912,0.9341978459163703,de4c9b9a256096f88d9f8d39aecbba78d600f6117398ea62fdd06d34a4fa533e
C2,cross_fitted_temperature,0.38,0.3800262571367508,0.6199737428632492,12447,20306,0.8496914152061122,11582,0.9305053426528481,0.06949465734715188,0.9319275100035502,fb7b67d9f47dd8dd3d8eb045b8cba56612de50b2635cfa48f0b3cfc2d7fcb6e6
C2,cross_fitted_temperature,0.39,0.39001007541293925,0.6099899245870608,12774,19979,0.8432035650252413,11859,0.9283701268201033,0.07162987317989666,0.92997181945482,78e5d7a356e9c29a5a14c8cd174a7383cfd2b286888944fa09d7cef66c50e885
C2,cross_fitted_temperature,0.4,0.40002442524348913,0.5999755747565109,13102,19651,0.8368006291923005,12137,0.9263471225767058,0.07365287742329418,0.9278239443461342,20fe8bb4dff4e7e4fcf218474f8e51c6f943007cedfb8838571d6a31648b5adb
C2,cross_fitted_temperature,0.41,0.4100082435196776,0.5899917564803224,13429,19324,0.8303173847263386,12403,0.9235981830367116,0.0764018169632884,0.9255564013060205,773ca57b345995d2ad94ddf76d01ddec5732726b5effc7b9e4d17b285a3278c2
C2,cross_fitted_temperature,0.42,0.42002259335022746,0.5799774066497725,13757,18996,0.8231041140673924,12686,0.9221487242858182,0.07785127571418182,0.9239830593567728,bded1115cbde030f205df9e6c01fdafd715b67da0e0ccfc4f43931675342cc2e
C2,cross_fitted_temperature,0.43,0.4300064116264159,0.569993588373584,14084,18669,0.8158602943216627,12955,0.9198381141721101,0.08016188582788986,0.9214911128454323,4d6c5e8043a3c55d55696556d2b30e516b3c4a9ec1214ed89a99e094fd1babff
C2,cross_fitted_temperature,0.44,0.4400207614569658,0.5599792385430342,14412,18341,0.8092927241206602,13227,0.9177768526228143,0.08222314737718572,0.9193045375872474,5c0876782e351d7e96fd3a5a1a22d07698d5bbadb4949bc98305025c4d84f567
C2,cross_fitted_temperature,0.45,0.4500045797331542,0.5499954202668458,14739,18014,0.8031942521968612,13489,0.915190989890766,0.08480901010923403,0.91698497077377,2cdba834030f385eefa766980f7eb3bb9a97889e843afaae7609157f442f413a
C2,cross_fitted_temperature,0.46,0.4600189295637041,0.539981070436296,15067,17686,0.7957509634331383,13759,0.9131877613327138,0.08681223866728616,0.9149782765143302,11eee9b21f0dba112e1d41aae3119690edf6ef18d1a7df8cdfb9f64da3ff5799
C2,cross_fitted_temperature,0.47,0.47000274783989254,0.5299972521601075,15394,17359,0.788993361887434,14017,0.9105495647654931,0.08945043523450691,0.9121130819531929,829812f5f3aabe4b91e0601f6dc28cd2ce871e65712bcd9c00efce30cf7a6f8a
C2,cross_fitted_temperature,0.48,0.4800170976704424,0.5199829023295576,15722,17031,0.7821359729525658,14272,0.9077725480218801,0.09222745197811988,0.9093166004212557,584196d2b686561b2ea1a500eb97751e323a86c592e7372f19bdeb91f3fcf2c5
C2,cross_fitted_temperature,0.49,0.49000091594663087,0.5099990840533691,16049,16704,0.7742817262716064,14538,0.9058508318275282,0.09414916817247176,0.9072073587040136,dc62688447fa7d21a3fa55feac0b7312d9ea9edd5c1b202293ce8561cdf9ad16
C2,cross_fitted_temperature,0.5,0.5000152657771807,0.4999847342228193,16377,16376,0.7666961526684108,14784,0.9027294376259388,0.09727056237406118,0.9039678692416281,b0c1bce574f7e491be055a605cea98e2ed7fe93d47258a6c2d5e8b1f2b932f47
C2,cross_fitted_temperature,0.51,0.5100296156077306,0.48997038439226936,16705,16048,0.7595638679853218,15030,0.8997306195749776,0.10026938042502243,0.9008825892402709,8ad7d12e8281d765c2fe33f5cfc48c811bde937ffbab2e9abd8f8a1a4fe47b6a
C2,cross_fitted_temperature,0.52,0.5200134338839191,0.4799865661160809,17032,15721,0.752145727834588,15271,0.8966063879755753,0.10339361202442465,0.8976327798051714,86be0c9b5695badb672921000906d11c6e4af5ef518d466d491c44b24dbc9390
C2,cross_fitted_temperature,0.53,0.5300277837144689,0.4699722162855311,17360,15393,0.7446879464101893,15522,0.8941244239631336,0.10587557603686637,0.8949473747812096,a07cee9182bc5163e59e2b477dcefeda697a8a84d6cc12e73a27b82ec2da1e78
C2,cross_fitted_temperature,0.54,0.5400116019906573,0.45998839800934266,17687,15066,0.7368591575011152,15761,0.8911064623734947,0.10889353762650533,0.8916703171752909,c0faeb2aa3a8c5d438288641eb98b4f456e8b62edc65994b9a5383af0c05a7be
C2,cross_fitted_temperature,0.55,0.5500259518212072,0.44997404817879283,18015,14738,0.7287768900890911,16014,0.8889258950874271,0.11107410491257286,0.8893195963903695,d45cd82f27bc2922ba75f46f65d84f1c4b53a54fa63feaa026854baafb0e920a
C2,cross_fitted_temperature,0.56,0.5600097700973956,0.4399902299026044,18342,14411,0.7209334731077482,16243,0.8855631883109802,0.11443681168901976,0.886049036044818,6b570bf5bd5a603cc9192b28d5c2f6d579be4f225509c94da44f103ac9aaa48e
C2,cross_fitted_temperature,0.57,0.5700241199279455,0.42997588007205445,18670,14083,0.713324171287358,16488,0.8831280128548473,0.11687198714515268,0.8837408091666237,28a0c1f9063795182c432abd61638271ad65680cb1f4a5fe8f2c30f2f2c12676
C2,cross_fitted_temperature,0.58,0.580007938204134,0.419992061795866,18997,13756,0.7057854465179495,16721,0.8801916092014529,0.1198083907985471,0.8803692951658069,a0b8fd8dae2d656d27d8f48cf5bfdfb5b580acabe705f9205d6dd5fde6a4edff
C2,cross_fitted_temperature,0.59,0.5900222880346838,0.4099777119653162,19325,13428,0.6981815817183066,16963,0.8777749029754205,0.12222509702457951,0.8778371311362678,b6df3989e867af65fa366150b2f547437b2964f9fdc943a1fe14e743072d73a9
C2,cross_fitted_temperature,0.6,0.6000061063108723,0.39999389368912774,19652,13101,0.6898333250827522,17201,0.8752798697333605,0.12472013026663953,0.8753417014986791,2f990bd62fb6e372314bd1e276b22230226a5ce056f1a8ca8e986514086bca92
C2,cross_fitted_temperature,0.61,0.6100204561414222,0.3899795438585778,19980,12773,0.6820261439467519,17435,0.8726226226226226,0.12737737737737742,0.8729320869302395,c4172e3726be63a894ebfee7f1c34a23540a105d82fd49c5cad1b85065aafc3e
C2,cross_fitted_temperature,0.62,0.6200042744176106,0.37999572558238937,20307,12446,0.6744247877099973,17669,0.8700940562367656,0.1299059437632344,0.8705901723491675,5145bb7aa04c80aff9b8c67e47bfe2bde428d267e18adfba42850043eb080dbf
C2,cross_fitted_temperature,0.63,0.6300186242481605,0.36998137575183954,20635,12118,0.6667969461589185,17891,0.8670220499151926,0.1329779500848074,0.8673865107684846,0055fd6c424e8d6f8f252fcd5366e0c156f00b054331947e95d2db0f88760443
C2,cross_fitted_temperature,0.64,0.6400024425243489,0.3599975574756511,20962,11791,0.6589083906377063,18105,0.863705753267818,0.13629424673218205,0.8639756430659585,53b7f054f1bcac5a758cc8f20b038928444fab56a62d9dd3f249f4377d0f8393
C2,cross_fitted_temperature,0.65,0.6500167923548988,0.34998320764510116,21290,11463,0.650507605074517,18320,0.8604978863316111,0.13950211366838894,0.8603519631737293,4ca64d082330c171710e8762267e522919e52431a29913c90a98bd1be9845018
C2,cross_fitted_temperature,0.66,0.6600006106310873,0.3399993893689127,21617,11136,0.6432677501475992,18534,0.8573807651385483,0.14261923486145167,0.8568700852580475,878896d90b9318dd8e378e939ce4f49eb31859ad47c9b2f96cbf3cbf523c8bbe
C2,cross_fitted_temperature,0.67,0.6700149604616371,0.3299850395383629,21945,10808,0.6359439511593611,18736,0.8537707906128958,0.14622920938710415,0.8532087074670501,cff6e0b2788b4df90e57dbc61ffd7097d7ad03ee8287ad65b405d91c7924ebc9
C2,cross_fitted_temperature,0.68,0.6800293102921869,0.31997068970781306,22273,10480,0.628335361660654,18935,0.8501324473577875,0.14986755264221252,0.849589087061497,05e82f449a152d7f73e98adda2a014e0f324d5dfa35de99ea97e7b091adf46d7
C2,cross_fitted_temperature,0.69,0.6900131285683754,0.3099868714316246,22600,10153,0.6207706582062632,19152,0.847433628318584,0.15256637168141596,0.8465456532505835,1a23fd6a5db605c2439012ddbfa1a7deb7d88e9f5bbf57ee8b836ffd93042976
C2,cross_fitted_temperature,0.7,0.7000274783989253,0.2999725216010747,22928,9825,0.6133850702780262,19344,0.8436845778087927,0.1563154221912073,0.8431852363951999,f584f9981f28cd989919433683910557481293f1335c55602bba8794baa21c14
C2,cross_fitted_temperature,0.71,0.7100112966751138,0.28998870332488624,23255,9498,0.6059738813092092,19535,0.8400344012040422,0.15996559879595784,0.8394085188708992,fe17f6b61f585dbd6a40283eefcb13b5a6811c454cd6c157fa320c922935a74f
C2,cross_fitted_temperature,0.72,0.7200256465056636,0.2799743534943364,23583,9170,0.5986452816239832,19733,0.8367468091421787,0.1632531908578213,0.8357158007037966,0032a49c4fce6cc3eb30ec94c2b16cda54fd6f822a04756a3c8db60cc01812be
C2,cross_fitted_temperature,0.73,0.730009464781852,0.269990535218148,23910,8843,0.5909639806618935,19922,0.8332078628189042,0.16679213718109576,0.8318346036655712,41df13f8b8f38445dd5642428776348ad38edc99b9bf043635029f30448e84a5
C2,cross_fitted_temperature,0.74,0.740023814612402,0.25997618538759804,24238,8515,0.583771099196596,20108,0.8296064031685783,0.17039359683142175,0.8278755009523071,ddfe39ff335be06280282ac0de7ee9d18a2dac1ad20ed7b770feb9f9465eaa42
C2,cross_fitted_temperature,0.75,0.7500076328885904,0.2499923671114096,24565,8188,0.5765546261855033,20300,0.8263789945043761,0.17362100549562387,0.8245373423014803,d2d0c1709444ee821e897367915dee6969bb0cfe1ee7dd59e1fc54f7f365f1d8
C2,cross_fitted_temperature,0.76,0.7600219827191402,0.23997801728085977,24893,7860,0.5701321820953814,20488,0.8230426224239746,0.17695737757602537,0.8214361900064218,c0bcc81a52fe95788dd0c6d8924e6ace27ded2481ad3432073bbca617dc3ae87
C2,cross_fitted_temperature,0.77,0.7700058009953287,0.22999419900467133,25220,7533,0.5628544709617159,20671,0.8196272799365583,0.18037272006344174,0.8180269002420459,ee6eb9d690f101d5b67a87e79ed48818208ccf8da363b4b7cb7c63270286ee15
C2,cross_fitted_temperature,0.78,0.7800201508258785,0.2199798491741215,25548,7205,0.5562407166085318,20866,0.8167371222796305,0.18326287772036953,0.8149676339939311,a9be9cd81ae678754df8a7a7fe8ecf365abfbef8d8cecafda6f02b5661d8aa3b
