model,fold,slice,value,rows,errors,error_rate,wrong_confidence
usage_E9,0,near_white_fraction_band,1,1668,290,0.17386091127098324,0.7254258774482758
usage_E9,0,near_white_fraction_band,2,1602,273,0.17041198501872656,0.7143009177655677
usage_E9,0,near_white_fraction_band,3,1640,336,0.20487804878048776,0.6860763648809524
usage_E9,0,near_white_fraction_band,4,1643,191,0.11625076080340835,0.7196624080104712
usage_E9,1,near_white_fraction_band,1,1618,270,0.16687268232385666,0.718763307925926
usage_E9,1,near_white_fraction_band,2,1667,310,0.18596280743851235,0.7242387973225806
usage_E9,1,near_white_fraction_band,3,1637,282,0.17226634086744042,0.6841064491134752
usage_E9,1,near_white_fraction_band,4,1634,208,0.12729498164014685,0.7146521050000001
usage_E9,2,near_white_fraction_band,1,1690,272,0.16094674556213018,0.7243689151838235
usage_E9,2,near_white_fraction_band,2,1611,283,0.17566728739913096,0.7409255502826855
usage_E9,2,near_white_fraction_band,3,1642,303,0.18453105968331307,0.6818578212871287
usage_E9,2,near_white_fraction_band,4,1610,201,0.12484472049689443,0.7158736535820895
usage_E9,3,near_white_fraction_band,1,1646,242,0.1470230862697448,0.7350846059090909
usage_E9,3,near_white_fraction_band,2,1633,264,0.16166564605021438,0.7418977048863635
usage_E9,3,near_white_fraction_band,3,1644,312,0.1897810218978102,0.6948256168910257
usage_E9,3,near_white_fraction_band,4,1630,200,0.12269938650306744,0.7283652990499999
usage_E9,4,near_white_fraction_band,1,1566,263,0.16794380587484037,0.7071844634600761
usage_E9,4,near_white_fraction_band,2,1684,325,0.1929928741092637,0.7407505436307693
usage_E9,4,near_white_fraction_band,3,1623,302,0.1860751694393099,0.6847105779139073
usage_E9,4,near_white_fraction_band,4,1684,216,0.12826603325415675,0.7032149174074076
gender_E6,0,usage_type_status,exception,726,54,0.07438016528925617,0.7989664975925928
gender_E6,0,usage_type_status,unsupported,1,0,0.0,
gender_E6,0,usage_type_status,usual,5826,671,0.11517336079642981,0.8176362448584202
gender_E6,1,usage_type_status,exception,645,56,0.08682170542635659,0.7814298396428571
gender_E6,1,usage_type_status,unsupported,4,3,0.75,0.8282280999999999
gender_E6,1,usage_type_status,usual,5907,636,0.10766886744540372,0.8220200891509435
gender_E6,2,usage_type_status,exception,648,50,0.0771604938271605,0.8202047524
gender_E6,2,usage_type_status,unsupported,5,5,1.0,0.7682756399999999
gender_E6,2,usage_type_status,usual,5900,652,0.11050847457627122,0.8092637598466257
gender_E6,3,usage_type_status,exception,682,60,0.08797653958944285,0.8265542961666665
gender_E6,3,usage_type_status,unsupported,5,1,0.19999999999999996,0.9976941
gender_E6,3,usage_type_status,usual,5867,620,0.10567581387421165,0.820210809451613
gender_E6,4,usage_type_status,exception,659,68,0.10318664643399089,0.8276602963235296
gender_E6,4,usage_type_status,unsupported,4,1,0.25,0.5427051
gender_E6,4,usage_type_status,usual,5894,623,0.10570071258907365,0.8286833782343499
gender_E6,0,mixed_family,False,6550,723,0.11038167938931298,0.8170170048962657
gender_E6,0,mixed_family,True,3,2,0.6666666666666667,0.537408315
gender_E6,1,mixed_family,False,6556,695,0.10600976205003054,0.8187763050647482
gender_E6,2,mixed_family,False,6553,707,0.1078895162520983,0.8097476481471003
gender_E6,3,mixed_family,False,6543,676,0.10331652147333026,0.8206867134763313
gender_E6,3,mixed_family,True,11,5,0.4545454545454546,0.8674870840000001
gender_E6,4,mixed_family,False,6557,692,0.10553606832392859,0.8281695807658959
gender_E6,0,brightness_band,1,1664,101,0.06069711538461542,0.8404296143564356
gender_E6,0,brightness_band,2,1619,112,0.06917850525015445,0.8139031445535715
gender_E6,0,brightness_band,3,1596,172,0.10776942355889729,0.8206607779069768
gender_E6,0,brightness_band,4,1674,340,0.2031063321385902,0.8075997474411765
gender_E6,1,brightness_band,1,1675,127,0.07582089552238802,0.8347514963779529
gender_E6,1,brightness_band,2,1644,112,0.06812652068126523,0.8351406989285713
gender_E6,1,brightness_band,3,1567,164,0.1046585832801532,0.832887188414634
gender_E6,1,brightness_band,4,1670,292,0.17485029940119756,0.7976261465753425
gender_E6,2,brightness_band,1,1624,110,0.06773399014778325,0.8516574244545454
gender_E6,2,brightness_band,2,1658,101,0.06091676718938477,0.7989166358415843
gender_E6,2,brightness_band,3,1720,186,0.10813953488372097,0.7985012765053764
gender_E6,2,brightness_band,4,1551,310,0.19987105093488067,0.8051530738709678
gender_E6,3,brightness_band,1,1615,131,0.08111455108359134,0.8263322776335876
gender_E6,3,brightness_band,2,1671,98,0.058647516457211224,0.8503864508163265
gender_E6,3,brightness_band,3,1628,152,0.09336609336609336,0.8350330353947368
gender_E6,3,brightness_band,4,1640,300,0.18292682926829273,0.8020307726666666
gender_E6,4,brightness_band,1,1615,118,0.0730650154798762,0.8421961055084748
gender_E6,4,brightness_band,2,1604,97,0.06047381546134667,0.8444851068041235
gender_E6,4,brightness_band,3,1684,196,0.11638954869358675,0.8368604296428572
gender_E6,4,brightness_band,4,1654,281,0.16989117291414757,0.8105854443772242
gender_E6,0,foreground_fraction_band,1,1640,290,0.17682926829268297,0.8198737923793104
gender_E6,0,foreground_fraction_band,2,1645,245,0.14893617021276595,0.8146859698367347
gender_E6,0,foreground_fraction_band,3,1611,104,0.0645561762880199,0.821563330673077
gender_E6,0,foreground_fraction_band,4,1657,86,0.051901025950512936,0.8020239811627907
gender_E6,1,foreground_fraction_band,1,1641,294,0.17915904936014626,0.8055577308503401
gender_E6,1,foreground_fraction_band,2,1634,200,0.12239902080783349,0.82115730925
gender_E6,1,foreground_fraction_band,3,1674,121,0.0722819593787336,0.8278938709917355
gender_E6,1,foreground_fraction_band,4,1607,80,0.0497822028624767,0.847611736375
gender_E6,2,foreground_fraction_band,1,1585,297,0.18738170347003158,0.8064912094612794
gender_E6,2,foreground_fraction_band,2,1675,234,0.13970149253731345,0.8143640387179488
gender_E6,2,foreground_fraction_band,3,1593,94,0.05900816070307591,0.7806912776595746
gender_E6,2,foreground_fraction_band,4,1700,82,0.04823529411764704,0.8416772301219512
gender_E6,3,foreground_fraction_band,1,1644,256,0.15571776155717765,0.803529019375
gender_E6,3,foreground_fraction_band,2,1629,223,0.13689379987722528,0.8444929171300448
gender_E6,3,foreground_fraction_band,3,1623,116,0.07147258163894021,0.8364259906034482
gender_E6,3,foreground_fraction_band,4,1658,86,0.05186972255729794,0.7915219690697676
gender_E6,4,foreground_fraction_band,1,1680,287,0.17083333333333328,0.8397291597560975
gender_E6,4,foreground_fraction_band,2,1604,219,0.1365336658354115,0.8156985256164383
gender_E6,4,foreground_fraction_band,3,1687,109,0.06461173681090693,0.8391118110091744
gender_E6,4,foreground_fraction_band,4,1586,77,0.04854981084489285,0.805063851038961
gender_E6,0,near_white_fraction_band,1,1668,92,0.05515587529976018,0.8073185596739131
gender_E6,0,near_white_fraction_band,2,1602,98,0.06117353308364548,0.8157448944897959
gender_E6,0,near_white_fraction_band,3,1640,244,0.14878048780487807,0.8139619607786885
gender_E6,0,near_white_fraction_band,4,1643,291,0.17711503347534996,0.8211514968728523
gender_E6,1,near_white_fraction_band,1,1618,85,0.052533992583436384,0.8364281147058825
