model,fold,class,support,predicted,tp,recall,f1
usage_E9,all,Casual,25151,23807,21878,0.869866009303805,0.893745659544916
usage_E9,all,Ethnic,2183,2145,1780,0.81539166284929,0.822550831792976
usage_E9,all,Formal,1949,2349,1482,0.7603899435608004,0.6896230805025594
usage_E9,all,Home,1,0,0,0.0,0.0
usage_E9,all,NA,61,105,16,0.26229508196721313,0.1927710843373494
usage_E9,all,Party,12,6,1,0.08333333333333333,0.1111111111111111
usage_E9,all,Smart Casual,47,85,6,0.1276595744680851,0.09090909090909091
usage_E9,all,Sports,3346,4248,2262,0.6760310818888224,0.5957334737951014
usage_E9,all,Travel,22,27,4,0.18181818181818182,0.16326530612244897
usage_E9,0,Casual,5037,4680,4329,0.8594401429422275,0.891015745600494
usage_E9,0,Ethnic,438,412,364,0.8310502283105022,0.8564705882352941
usage_E9,0,Formal,383,470,291,0.7597911227154047,0.6822977725674091
usage_E9,0,Home,0,0,0,,0.0
usage_E9,0,NA,11,18,3,0.2727272727272727,0.20689655172413793
usage_E9,0,Party,3,2,0,0.0,0.0
usage_E9,0,Smart Casual,9,10,1,0.1111111111111111,0.10526315789473684
usage_E9,0,Sports,668,956,474,0.7095808383233533,0.583743842364532
usage_E9,0,Travel,4,5,1,0.25,0.2222222222222222
usage_E9,1,Casual,5031,4803,4394,0.8733850129198967,0.8936343298759406
usage_E9,1,Ethnic,436,430,350,0.8027522935779816,0.8083140877598153
usage_E9,1,Formal,387,452,294,0.7596899224806202,0.700834326579261
usage_E9,1,Home,0,0,0,,0.0
usage_E9,1,NA,14,15,2,0.14285714285714285,0.13793103448275862
usage_E9,1,Party,2,0,0,0.0,0.0
usage_E9,1,Smart Casual,10,23,0,0.0,0.0
usage_E9,1,Sports,671,827,446,0.6646795827123696,0.595460614152203
usage_E9,1,Travel,5,6,0,0.0,0.0
usage_E9,2,Casual,5031,4732,4369,0.868415821904194,0.8950117791662399
usage_E9,2,Ethnic,436,431,355,0.8142201834862385,0.8189158016147635
usage_E9,2,Formal,390,504,311,0.7974358974358975,0.6957494407158836
usage_E9,2,Home,0,0,0,,0.0
usage_E9,2,NA,13,21,5,0.38461538461538464,0.29411764705882354
usage_E9,2,Party,2,3,0,0.0,0.0
usage_E9,2,Smart Casual,9,28,4,0.4444444444444444,0.21621621621621623
usage_E9,2,Sports,668,826,449,0.6721556886227545,0.6010709504685409
usage_E9,2,Travel,4,8,1,0.25,0.16666666666666666
usage_E9,3,Casual,5024,4805,4423,0.8803742038216561,0.899989826025028
usage_E9,3,Ethnic,438,428,357,0.815068493150685,0.8244803695150116
usage_E9,3,Formal,393,479,296,0.7531806615776081,0.6788990825688074
usage_E9,3,Home,0,0,0,,0.0
usage_E9,3,NA,12,21,2,0.16666666666666666,0.12121212121212122
usage_E9,3,Party,2,0,0,0.0,0.0
usage_E9,3,Smart Casual,10,9,0,0.0,0.0
usage_E9,3,Sports,669,808,455,0.680119581464873,0.6161137440758294
usage_E9,3,Travel,5,3,2,0.4,0.5
usage_E9,4,Casual,5028,4787,4363,0.8677406523468576,0.889047376464595
usage_E9,4,Ethnic,435,444,354,0.8137931034482758,0.8054607508532423
usage_E9,4,Formal,396,444,290,0.7323232323232324,0.6904761904761905
