fold,model,condition,label,support,precision,recall,f1,predicted_count
4,D45,clean,Women,2405,0.918918918918919,0.9047817047817048,0.9117955164466792,2368
4,D45,gray,Boys,138,0.5877862595419847,0.5579710144927537,0.5724907063197026,131
4,D45,gray,Girls,109,0.6730769230769231,0.3211009174311927,0.43478260869565216,52
4,D45,gray,Men,3552,0.8680732079308592,0.9614301801801802,0.9123697568795084,3934
4,D45,gray,Unisex,353,0.6742424242424242,0.5042492917847026,0.5769854132901134,264
4,D45,gray,Women,2405,0.9250919117647058,0.837006237006237,0.8788474132285528,2176
4,G2,clean,Boys,138,0.618421052631579,0.6811594202898551,0.6482758620689655,152
4,G2,clean,Girls,109,0.6341463414634146,0.47706422018348627,0.5445026178010471,82
4,G2,clean,Men,3552,0.9284534947716016,0.9498873873873874,0.9390481491789591,3634
4,G2,clean,Unisex,353,0.6459016393442623,0.5580736543909348,0.5987841945288754,305
4,G2,clean,Women,2405,0.925755033557047,0.9176715176715177,0.9216955523073711,2384
4,G2,gray,Boys,138,0.5703125,0.5289855072463768,0.5488721804511278,128
4,G2,gray,Girls,109,0.6212121212121212,0.3761467889908257,0.4685714285714286,66
4,G2,gray,Men,3552,0.897510593220339,0.9541103603603603,0.9249454148471615,3776
4,G2,gray,Unisex,353,0.6666666666666666,0.56657223796034,0.6125574272588055,300
4,G2,gray,Women,2405,0.9247923043288151,0.8794178794178794,0.90153452685422,2287
4,E6,clean,Boys,138,0.6744186046511628,0.6304347826086957,0.651685393258427,129
4,E6,clean,Girls,109,0.6428571428571429,0.4954128440366973,0.5595854922279793,84
4,E6,clean,Men,3552,0.9151482186565134,0.9473536036036037,0.9309724719878268,3677
4,E6,clean,Unisex,353,0.6571428571428571,0.5212464589235127,0.5813586097946287,280
4,E6,clean,Women,2405,0.9111855886049435,0.9043659043659044,0.907762938230384,2387
4,E6,gray,Boys,138,0.5970149253731343,0.5797101449275363,0.5882352941176471,134
4,E6,gray,Girls,109,0.7692307692307693,0.3669724770642202,0.4968944099378882,52
4,E6,gray,Men,3552,0.8863576852579209,0.9529842342342343,0.9184642517975852,3819
4,E6,gray,Unisex,353,0.6462093862815884,0.5070821529745042,0.5682539682539682,277
4,E6,gray,Women,2405,0.9173626373626373,0.8677754677754678,0.8918803418803419,2275
